date,trans0,trans2,comm0,comm2,zan0,zan2,r
2018-12-01,318,0,1006,0,2560,0,0.0
2018-12-02,0,0,0,0,0,0,0
2018-12-03,0,27,0,38,0,93,1.0
2018-12-04,0,0,0,0,0,0,0
2018-12-05,17,422,82,967,114,2233,0.9444589308996089
2018-12-06,46642,206,38834,289,99919,328,0.004419551278608942
2018-12-07,1168,748,2960,739,10287,3474,0.2560383980181668
2018-12-08,3671,0,215,0,7169,0,0.0
2018-12-09,104,0,354,0,378,0,0.0
2018-12-10,793,215,1682,589,7794,1009,0.15005793742757823
2018-12-11,0,7381,0,9898,0,76553,1.0
2018-12-12,1702,117,0,340,27734,1300,0.05632673997371205
2018-12-13,0,336,0,491,0,1035,1.0
2018-12-14,59,628,308,2795,100,2670,0.9288109756097561
2018-12-15,314,287,764,117,1064,894,0.37732558139534883
2018-12-16,0,5026,0,754,0,1388,1.0
2018-12-17,0,0,0,0,0,0,0
2018-12-18,1451,8328,2332,8457,7067,59584,0.8756004998910788
2018-12-19,400,1755,452,1602,2520,7295,0.7595550484883058
2018-12-20,39,590,87,197,122,817,0.8660907127429806
2018-12-21,0,47,0,157,0,165,1.0
2018-12-22,0,0,0,0,0,0,0
2018-12-23,367,1849,252,2507,913,7752,0.887683284457478
2018-12-24,519,878,1114,630,879,2208,0.596660244059088
2018-12-25,430,199,311,212,1314,570,0.3231225296442688
2018-12-26,0,38,0,54,0,1068,1.0
2018-12-27,41,306,73,625,260,3977,0.9291934873154108
2018-12-28,0,4926,0,3130,0,29131,1.0
2018-12-29,55,39,4,96,161,290,0.6589147286821705
2018-12-30,135,50,185,85,175,125,0.3443708609271523
2018-12-31,0,0,0,0,0,0,0
2019-01-01,0,0,0,0,0,0,0
2019-01-02,0,0,0,0,0,0,0
2019-01-03,0,81,0,195,0,331,1.0
2019-01-04,220,47,2191,123,1576,520,0.14753046824887747
2019-01-05,0,100,0,94,0,189,1.0
2019-01-06,0,158,0,90,0,351,1.0
2019-01-07,0,0,0,0,0,0,0
2019-01-08,924,0,751,0,1516,0,0.0
2019-01-09,0,154,0,102,0,462,1.0
2019-01-10,348,0,1119,0,406,0,0.0
2019-01-11,304,0,754,0,296,0,0.0
2019-01-12,1504,0,99,0,207,0,0.0
2019-01-13,0,0,0,0,0,0,0
2019-01-14,0,1426,0,1162,0,7523,1.0
2019-01-15,4210,171,411,246,395,1797,0.3062240663900415
2019-01-16,44,230,23,160,43,484,0.8882113821138211
2019-01-17,0,3072,0,3411,0,14715,1.0
2019-01-18,1659,608,1920,636,6285,1192,0.1980487804878049
2019-01-19,643,409,1108,316,730,802,0.3809880239520958
2019-01-20,102,294,88,135,512,500,0.5695892090741876
2019-01-21,319,2209,64,635,1025,3003,0.8059269469331496
2019-01-22,194,309,55,398,192,931,0.7878787878787878
2019-01-23,274,252,90,311,630,1578,0.6829346092503987
2019-01-24,0,3741,0,6653,0,23392,1.0
2019-01-25,826,103,1318,42,2001,121,0.06030378598957153
2019-01-26,0,205,0,542,0,730,1.0
2019-01-27,0,1148,0,612,0,956,1.0
2019-01-28,0,2826,0,2531,0,7576,1.0
2019-01-29,73,1515,199,2267,256,3574,0.9330289193302892
2019-01-30,156,0,63,0,611,0,0.0
2019-01-31,0,74,0,161,0,112,1.0
2019-02-01,0,671,0,1348,0,6229,1.0
2019-02-02,0,34,0,57,0,485,1.0
2019-02-03,0,96,0,92,0,155,1.0
2019-02-04,0,0,0,0,0,0,0
2019-02-05,0,120,0,169,0,1091,1.0
2019-02-06,0,34,0,49,0,447,1.0
2019-02-07,34,414,43,552,109,1131,0.9185282522996058
2019-02-08,92,779,90,2663,118,5983,0.9691516709511568
2019-02-09,87,351,99,565,224,3709,0.9185700099304865
2019-02-10,9,80,10,62,31,52,0.7950819672131147
2019-02-11,28,67,1034,26,219,70,0.1128808864265928
2019-02-12,30,24,17,28,61,95,0.5764705882352941
2019-02-13,63,210,65,591,121,743,0.8611266034578918
2019-02-14,123,534,139,579,316,995,0.7848101265822784
2019-02-15,257,351,405,375,1644,1943,0.5364824120603016
2019-02-16,226,409,195,425,295,556,0.6600189933523267
2019-02-17,170,602,122,454,352,762,0.7384240454914703
2019-02-18,153,237,211,280,652,1587,0.6743589743589744
2019-02-19,224,135,376,200,853,543,0.3766623766623767
2019-02-20,138,242,281,311,251,3319,0.8524878907970057
2019-02-21,0,513,0,239,0,791,1.0
2019-02-22,851,1262,837,1611,2146,3060,0.6074536705231903
2019-02-27,50,153,275,52,235,281,0.4646271510516252
2019-02-28,0,1104,0,708,0,3732,1.0
2019-03-01,0,339,0,331,0,1073,1.0
2019-03-02,0,734,0,1704,0,1462,1.0
2019-03-03,0,0,0,0,0,0,0
2019-03-04,430,500,1275,793,1348,2006,0.5193639798488665
2019-03-05,0,741,0,435,0,1083,1.0
2019-03-06,339,71,228,102,2845,449,0.15418939018344074
2019-03-07,0,32511,0,24286,0,149311,1.0
2019-03-08,0,28,0,15,0,82,1.0
