date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2
2019/1/1,0,0,129,0,0,362,0,0,192
2019/1/2,0,0,0,0,0,0,0,0,0
2019/1/3,0,0,81,0,0,195,0,0,331
2019/1/4,51,0,192,71,0,659,86,0,784
2019/1/5,26,174,115,91,324,78,115,456,226
2019/1/6,87,0,136,72,0,48,193,0,176
2019/1/7,0,0,0,0,0,0,0,0,0
2019/1/8,924,0,240,751,0,338,1516,0,1777
2019/1/9,0,56,296,0,36,455,0,159,624
2019/1/10,0,0,0,0,0,0,0,0,0
2019/1/11,139,0,0,176,0,0,172,0,0
2019/1/12,154,0,263,1475,0,716,1228,0,1094
2019/1/13,1667,74,46,3748,123,7,3845,224,41
2019/1/14,548,0,73,574,0,224,577,0,293
2019/1/15,0,0,2798,0,0,796,0,0,2017
2019/1/16,247,0,879,232,0,202,435,0,597
2019/1/17,118,0,2587,246,0,819,346,0,3417
2019/1/18,33,1535,0,55,1629,0,224,5878,0
2019/1/19,105,70,397,132,41,322,215,107,627
2019/1/20,151,0,87,183,0,162,722,0,223
2019/1/21,1266,0,0,620,0,0,745,0,0
2019/1/22,3933,0,2340,6377,0,5095,10145,0,6344
2019/1/23,390,41,535,776,25,1963,603,52,1395
2019/1/24,0,0,80,0,0,132,0,0,237
2019/1/25,131,0,34,397,0,100,216,0,104
2019/1/26,0,0,129,0,0,42,0,0,83
2019/1/27,480,49,663,779,141,634,1259,146,2004
2019/1/28,675,0,1224,982,0,1735,958,0,3789
2019/1/29,3723,197,1572,9226,756,2761,10495,178,2501
2019/1/30,1537,812,53,1086,512,275,1723,638,130
2019/1/31,237,42,764,303,20,1574,351,85,2191
2019/2/1,395,0,373,213,0,121,320,0,370
2019/2/2,0,0,292,0,0,138,0,0,248
2019/2/3,2213,0,224,289,0,163,2005,0,241
2019/2/4,0,0,543,0,0,442,0,0,425
2019/2/5,0,73,115,0,6,44,0,22,197
2019/2/6,83,0,158,157,0,133,135,0,236
2019/2/7,13,0,991,36,0,213,70,0,500
2019/2/8,1145,0,254,336,0,420,666,0,503
2019/2/9,0,0,626,0,0,794,0,0,3965
2019/2/10,0,0,19,0,0,55,0,0,483
2019/2/11,11,0,141,17,0,143,83,0,229
2019/2/12,2033,0,600,2123,0,964,8589,0,1282
2019/2/13,201,0,68,23,0,141,47,0,236
2019/2/14,219,0,241,196,0,185,709,0,687
2019/2/15,274,0,124,238,0,95,383,0,348
2019/2/16,142,0,378,94,0,385,180,0,489
2019/2/17,0,0,750,0,0,534,0,0,1127
2019/2/18,229,0,128,260,0,106,464,0,316
2019/2/19,234,0,2245,424,0,4040,2086,0,11660
2019/2/20,0,0,175,0,0,236,0,0,2755
2019/2/21,486,3317,642,270,1831,409,1489,10556,1085
2019/2/22,836,0,325,852,0,465,2066,0,1265
2019/2/27,0,0,424,0,0,390,0,0,1232
2019/2/28,100,0,89,158,0,140,223,0,391
2019/3/1,113,0,230,135,0,103,189,0,433
2019/3/2,844,0,700,2292,0,1672,2829,0,1355
2019/3/3,0,0,194,0,0,137,0,0,448
2019/3/4,2253,0,659,4994,0,1348,7025,0,2017
2019/3/5,18,19,557,49,31,289,114,56,860
2019/3/6,23,0,69,15,0,246,62,0,179
2019/3/7,11261,46496,81399,11140,37717,57171,55098,187097,320605
2019/3/8,1638,106,1109,1472,104,1257,4480,431,4365
2019/3/9,789,393,794,444,321,1089,1188,3331,2693
2019/3/10,2070,199,447,1628,398,310,7813,815,362
2019/3/11,181,0,32,62,0,66,157,0,88
2019/3/12,1006,0,504,746,0,1186,3558,0,1237
2019/3/13,748,0,233,853,0,465,369,0,1004
2019/3/14,497,0,187,610,0,172,1523,0,470
2019/3/15,121,0,1803,108,0,4266,243,0,12053
2019/3/16,6779,0,41,1077,0,13,31812,0,132
2019/3/17,0,0,1240,0,0,1690,0,0,2871
2019/3/18,10,0,375,10,0,475,31,0,653
2019/3/19,0,0,579,0,0,723,0,0,3971
2019/3/20,513,0,682,377,0,516,893,0,1250
2019/3/21,0,0,313,0,0,291,0,0,643
2019/3/22,89,0,42,127,0,26,274,0,120
2019/3/23,69,0,95,138,0,143,353,0,380
2019/3/24,0,0,641,0,0,831,0,0,723
2019/3/25,0,0,82,0,0,185,0,0,257
2019/3/26,0,0,0,0,0,0,0,0,0
2019/3/27,0,0,0,0,0,0,0,0,0
2019/3/28,152,0,287,203,0,344,561,0,1183
2019/3/29,158,1447,327,479,1590,597,1610,2796,722
2019/3/30,379,0,0,388,0,0,582,0,0
2019/3/31,25,0,0,35,0,0,46,0,0
2019/4/1,0,0,168,0,0,132,0,0,4533
2019/4/2,117,0,163,82,0,93,113,0,298
2019/4/3,34,0,674,33,0,681,87,0,3650
2019/4/4,247,0,1002,1238,0,1799,2253,0,2674
2019/4/5,0,0,26,0,0,41,0,0,117
2019/4/6,46,84,64,52,49,32,287,218,64
2019/4/7,0,27,106,0,17,257,0,52,863
2019/4/8,25,0,20,17,0,47,128,0,138
2019/4/9,445,0,148,1138,0,430,4053,0,782
2019/4/10,39,0,88,394,0,204,443,0,391
2019/4/11,0,0,61,0,0,111,0,0,211
2019/4/12,0,0,186,0,0,433,0,0,525
2019/4/13,0,0,0,0,0,0,0,0,0
2019/4/14,0,0,0,0,0,0,0,0,0
2019/4/15,81,71,251,119,45,191,241,251,877
2019/4/16,0,216,66,0,145,66,0,468,180
2019/4/17,110,0,0,142,0,0,414,0,0
2019/4/18,119,0,18,12,0,14,391,0,79
2019/4/19,0,0,29,0,0,60,0,0,62
2019/4/20,0,0,0,0,0,0,0,0,0
2019/4/21,0,0,71,0,0,193,0,0,137
2019/4/22,0,0,282,0,0,184,0,0,611
2019/4/23,22,108,0,17,55,0,85,172,0
2019/4/24,0,0,125,0,0,208,0,0,360
2019/4/25,169,0,490,96,0,471,215,0,1141
2019/4/26,0,0,142,0,0,183,0,0,491
2019/4/28,50,0,0,137,0,0,166,0,0
2019/4/29,0,0,0,0,0,0,0,0,0
2019/4/30,220,0,113,48,0,262,115,0,330
2019/5/1,32,0,140,27,0,126,20,0,431
2019/5/2,151,0,0,236,0,0,144,0,0
2019/5/3,0,0,71,0,0,6,0,0,293
2019/5/4,43,0,339,65,0,333,93,0,186
2019/5/5,302,0,142,988,0,404,1264,0,883
2019/5/6,198,0,235,89,0,777,319,0,873
2019/5/7,0,0,0,0,0,0,0,0,0
2019/5/8,377,0,56,544,0,173,332,0,183
2019/5/9,1443,0,957,1026,0,994,3944,0,4362
2019/5/10,556,0,39,167,0,26,62,0,109
2019/5/11,425,0,0,375,0,0,727,0,0
2019/5/12,26,0,12,66,0,14,92,0,33
2019/5/13,41,0,0,159,0,0,105,0,0
2019/5/14,0,0,977,0,0,545,0,0,1411
2019/5/15,0,0,423,0,0,618,0,0,989
2019/5/16,896,182,6467,2095,491,11104,2861,533,30624
2019/5/17,12688,0,117933,13594,0,60408,72954,0,473137
2019/5/18,1953,0,7139,1108,0,7022,5534,0,44039
2019/5/19,668,329,3996,745,225,9705,1440,1690,26548
2019/5/20,6928,0,6492,10660,0,19697,38395,0,49079
2019/5/21,8014,2700,46924,3024,1601,12413,27561,10409,130507
2019/5/22,1640,0,6545,2485,0,4291,9245,0,33344
2019/5/23,512,0,10993,1275,0,19481,1558,0,90433
2019/5/24,1460,636,20560,1807,695,5971,5471,3853,33177
2019/5/25,12191,0,5012,4989,0,2528,60467,0,16434
2019/5/26,11103,217,1601,16213,460,3322,33074,5566,9565
2019/5/27,2941,332,14951,1600,130,5566,8133,1902,29478
2019/5/28,6074,0,97319,12189,0,34081,16738,0,271690
2019/5/29,6455,0,10375,4945,0,15084,15123,0,76364
2019/5/30,4160,0,2911,2672,0,3654,56089,0,27454
2019/5/31,445,0,558,274,0,378,1466,0,3950
2019/6/1,747,0,5971,1016,0,2238,10460,0,54262
2019/6/2,493,265,11976,834,403,2656,8650,2574,31530
2019/6/3,96,0,4988,45,0,5756,215,0,20831
2019/6/4,1498,0,1709,2528,0,718,28371,0,5521
2019/6/5,157,0,2358,219,0,2309,1536,0,17311
2019/6/6,378,0,13500,303,0,3753,2954,0,77345
2019/6/7,994,21,297,463,37,332,3507,304,2984
2019/6/8,540,0,3359,1052,0,1291,5376,0,16729
2019/6/9,229,0,1260,470,0,1554,2585,0,5757
2019/6/10,162,0,1702,374,0,1962,2759,0,18950
2019/6/11,741,0,9700,1970,0,8240,9644,0,165980
2019/6/12,1279,0,485,1517,0,142,10629,0,1612
2019/6/13,574,589,1690,446,707,2512,4367,9094,31723
2019/6/14,1033,0,706,845,0,1728,7675,0,6907
2019/6/15,447,0,2102,1160,0,3828,7322,0,26469
2019/6/16,1043,98,76,1342,74,14,11251,824,141
2019/6/17,163,81,5160,223,86,7175,1482,498,64308
2019/6/18,0,50,11433,0,198,13114,0,17227,162729
2019/6/19,549,0,594,916,0,1099,8371,0,8422
2019/6/20,2078,0,570,1729,0,787,13770,0,4941
2019/6/21,0,436,0,0,1107,0,0,22296,0
2019/6/22,153,0,3417,252,0,3271,2663,0,50588
2019/6/23,1007,0,989,2155,0,1171,13971,0,8037
2019/6/24,452,0,375,863,0,323,4201,0,2022
2019/6/25,250,0,4112,183,0,3983,2086,0,45125
2019/6/26,2489,0,858,1793,0,2128,17409,0,18639
2019/6/27,0,53,799,0,33,912,0,541,7623
2019/6/28,0,0,3601,0,0,2510,0,0,56134
2019/6/29,173,0,12499,226,0,16006,2121,0,208303
2019/6/30,0,310,1354,0,477,1616,0,8420,4841
2019/7/1,118,0,126,101,0,198,689,0,879
2019/7/2,0,0,1017,0,0,987,0,0,5355
2019/7/3,117,0,102,58,0,127,259,0,1124
2019/7/4,255,0,123,440,0,144,2032,0,503
2019/7/5,524,0,160,311,0,116,1843,0,530
2019/7/6,558,0,334,639,0,434,3155,0,4528
2019/7/7,2045,0,384,1677,0,670,8443,0,3727
2019/7/8,1601,0,0,1362,0,0,20558,0,0
2019/7/9,318,372,566,708,206,746,4423,1103,3532
2019/7/10,1070,184,2940,1650,335,4561,11925,5571,63521
2019/7/11,0,0,46,0,0,63,0,0,503
2019/7/12,56,0,189,204,0,339,889,0,1598
2019/7/13,119,0,604,155,0,1114,948,0,4414
2019/7/14,0,0,65,0,0,76,0,0,359
2019/7/15,379,0,95,77,0,122,1168,0,658
2019/7/16,10452,0,349,1538,0,568,5445,0,5902
2019/7/17,0,0,533,0,0,596,0,0,6223
2019/7/18,718,31,0,467,30,0,4475,147,0
2019/7/19,0,35,180,0,81,70,0,917,691
2019/7/20,64,0,233,167,0,391,870,0,1615
2019/7/21,256,0,1052,258,0,731,1851,0,3503
2019/7/22,0,0,97,0,0,356,0,0,1039
2019/7/23,0,0,378,0,0,877,0,0,5125
2019/7/24,67,220,800,197,610,533,1842,19757,3570
2019/7/25,3969,0,462,3266,0,576,47652,0,5146
2019/7/26,6889,315,125,2973,778,236,42183,4117,1783
2019/7/27,253,0,47,379,0,536,1949,0,1736
2019/7/28,99,0,254,88,0,133,316,0,457
2019/7/29,21,0,132,122,0,280,496,0,2231
2019/7/30,155,0,112,624,0,271,5700,0,2390
2019/7/31,0,0,26,0,0,20,0,0,71
2019/8/1,417,39,0,875,72,0,4673,250,0
2019/8/2,209,0,550,421,0,424,2749,0,16527
2019/8/3,20,0,0,124,0,0,571,0,0
2019/8/4,0,0,219,0,0,241,0,0,1510
2019/8/5,170,0,365,291,0,359,931,0,1506
2019/8/6,159,0,2192,157,0,1623,1036,0,15479
2019/8/7,344,0,119,405,0,496,2425,0,2371
2019/8/8,197,0,2275,368,0,4035,2064,0,55260
2019/8/9,0,0,288,0,0,202,0,0,1851
2019/8/10,0,0,1143,0,0,2217,0,0,36391
2019/8/11,800,0,1925,1238,0,1633,9848,0,9059
2019/8/12,3349,0,239,1307,0,173,12012,0,1201
2019/8/13,2097,0,105,1337,0,106,15066,0,1617
2019/8/14,510,0,4136,310,0,3704,3586,0,659618
2019/8/15,62,0,0,33,0,0,273,0,0
2019/8/16,0,0,311,0,0,370,0,0,3166
