date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2
2019/1/1,0,0,0,0,0,0,0,0,0
2019/1/2,56,0,0,12,0,0,76,0,0
2019/1/3,0,0,1362,0,0,889,0,0,1055
2019/1/4,0,0,0,0,0,0,0,0,0
2019/1/5,0,0,0,0,0,0,0,0,0
2019/1/6,0,0,0,0,0,0,0,0,0
2019/1/7,0,0,0,0,0,0,0,0,0
2019/1/8,0,0,197,0,0,235,0,0,113
2019/1/9,0,22,0,0,77,0,0,55,0
2019/1/10,0,0,135,0,0,333,0,0,384
2019/1/11,494,0,195,2028,0,439,1444,0,886
2019/1/12,1504,0,0,99,0,0,207,0,0
2019/1/13,66,0,0,58,0,0,68,0,0
2019/1/14,451,0,0,181,0,0,915,0,0
2019/1/15,4291,0,2796,630,0,665,819,0,787
2019/1/16,350,0,1005,483,0,383,2537,0,1218
2019/1/17,99,649,4384,68,224,2200,303,459,8051
2019/1/18,0,1535,3703,0,1629,5704,0,5878,16400
2019/1/19,176,134,190,168,63,225,426,297,668
2019/1/20,27958,32,2439,12138,16,1545,255727,147,7085
2019/1/21,4385,0,3407,2027,0,1859,7793,0,7032
2019/1/22,983,0,912,1623,0,549,2542,0,1351
2019/1/23,348,41,0,302,25,0,674,52,0
2019/1/24,0,0,0,0,0,0,0,0,0
2019/1/25,0,0,0,0,0,0,0,0,0
2019/1/26,0,0,169,0,0,93,0,0,432
2019/1/27,97,0,711,141,0,467,362,0,883
2019/1/28,0,0,127,0,0,80,0,0,198
2019/1/29,0,0,1126,0,0,1837,0,0,1593
2019/1/30,0,0,0,0,0,0,0,0,0
2019/1/31,0,0,0,0,0,0,0,0,0
2019/2/1,0,0,0,0,0,0,0,0,0
2019/2/2,0,0,0,0,0,0,0,0,0
2019/2/3,0,0,27,0,0,10,0,0,57
2019/2/4,0,0,0,0,0,0,0,0,0
2019/2/5,0,0,38,0,0,65,0,0,77
2019/2/6,60,436,235,43,275,157,152,628,247
2019/2/7,142,0,164,125,0,88,318,0,205
2019/2/8,0,0,0,0,0,0,0,0,0
2019/2/9,73,0,0,56,0,0,155,0,0
2019/2/10,0,0,0,0,0,0,0,0,0
2019/2/11,0,0,0,0,0,0,0,0,0
2019/2/12,0,0,0,0,0,0,0,0,0
2019/2/13,201,0,0,23,0,0,47,0,0
2019/2/14,0,0,18,0,0,58,0,0,83
2019/2/15,0,0,0,0,0,0,0,0,0
2019/2/16,256,0,330,217,0,257,271,0,397
2019/2/17,127,0,769,69,0,469,147,0,900
2019/2/18,64,0,57,56,0,50,117,0,122
2019/2/19,267,0,2245,304,0,4040,1921,0,11660
2019/2/20,0,0,0,0,0,0,0,0,0
2019/2/21,62,0,0,36,0,0,190,0,0
2019/2/22,28,0,55,36,0,90,62,0,209
2019/2/27,0,0,413,0,0,2627,0,0,2131
2019/2/28,202,0,51,152,0,29,408,0,92
2019/3/1,0,0,52,0,0,15,0,0,66
2019/3/2,0,0,382,0,0,401,0,0,1516
2019/3/3,0,0,0,0,0,0,0,0,0
2019/3/4,447,0,0,2141,0,0,1960,0,0
2019/3/5,0,0,0,0,0,0,0,0,0
2019/3/6,0,0,0,0,0,0,0,0,0
2019/3/7,0,0,0,0,0,0,0,0,0
2019/3/8,0,0,0,0,0,0,0,0,0
2019/3/9,0,0,15,0,0,17,0,0,139
2019/3/10,0,0,0,0,0,0,0,0,0
2019/3/11,0,0,42,0,0,34,0,0,179
2019/3/12,0,0,0,0,0,0,0,0,0
2019/3/13,0,0,0,0,0,0,0,0,0
2019/3/14,497,0,86,610,0,130,1523,0,337
2019/3/15,275,0,40,322,0,22,490,0,193
2019/3/16,74,0,69,97,0,186,170,0,254
2019/3/17,80,0,93,211,0,74,328,0,147
2019/3/18,0,0,0,0,0,0,0,0,0
2019/3/19,0,0,174,0,0,205,0,0,295
2019/3/20,513,0,1755,377,0,802,893,0,2392
2019/3/21,0,0,187,0,0,114,0,0,314
2019/3/22,0,0,0,0,0,0,0,0,0
2019/3/23,0,0,0,0,0,0,0,0,0
2019/3/24,0,0,0,0,0,0,0,0,0
2019/3/25,0,0,0,0,0,0,0,0,0
2019/3/26,0,0,0,0,0,0,0,0,0
2019/3/27,0,0,0,0,0,0,0,0,0
2019/3/28,0,0,0,0,0,0,0,0,0
2019/3/29,0,0,122,0,0,167,0,0,393
2019/3/30,0,0,0,0,0,0,0,0,0
2019/3/31,116,0,0,160,0,0,237,0,0
2019/4/1,123,0,196,286,0,82,267,0,672
2019/4/2,0,0,0,0,0,0,0,0,0
2019/4/3,200,0,442,276,0,269,245,0,432
2019/4/4,541,0,387,619,0,268,972,0,295
2019/4/5,696,0,423,1056,0,76,1710,0,850
2019/4/6,0,84,0,0,49,0,0,218,0
2019/4/7,146,0,0,273,0,0,600,0,0
2019/4/8,0,0,0,0,0,0,0,0,0
2019/4/9,59,0,0,115,0,0,136,0,0
2019/4/10,0,0,0,0,0,0,0,0,0
2019/4/11,0,0,0,0,0,0,0,0,0
2019/4/12,0,0,0,0,0,0,0,0,0
2019/4/13,0,0,0,0,0,0,0,0,0
2019/4/14,0,0,0,0,0,0,0,0,0
2019/4/15,378,71,323,481,45,770,597,251,1934
2019/4/16,0,148,112,0,206,114,0,265,706
2019/4/17,0,0,0,0,0,0,0,0,0
2019/4/18,119,0,568,12,0,423,391,0,561
2019/4/19,25,0,29,37,0,60,97,0,62
2019/4/20,0,0,0,0,0,0,0,0,0
2019/4/21,0,0,71,0,0,193,0,0,137
2019/4/22,0,0,0,0,0,0,0,0,0
2019/4/23,0,108,84,0,55,9,0,172,11
2019/4/24,0,0,0,0,0,0,0,0,0
2019/4/25,0,0,348,0,0,415,0,0,818
2019/4/26,136,0,0,254,0,0,479,0,0
2019/4/28,0,0,152,0,0,225,0,0,672
2019/4/29,210,0,0,747,0,0,514,0,0
2019/4/30,243,0,76,56,0,12,159,0,165
2019/5/1,0,0,0,0,0,0,0,0,0
2019/5/2,0,131,11,0,90,13,0,389,32
2019/5/3,38,0,0,44,0,0,99,0,0
2019/5/4,260,106,69,222,80,0,395,111,53
2019/5/5,0,0,29,0,0,36,0,0,168
2019/5/6,0,0,235,0,0,777,0,0,873
2019/5/7,0,0,269,0,0,410,0,0,1334
2019/5/8,20,0,86,0,0,90,38,0,169
2019/5/9,0,0,0,0,0,0,0,0,0
2019/5/10,0,0,0,0,0,0,0,0,0
2019/5/11,0,0,0,0,0,0,0,0,0
2019/5/12,0,0,51,0,0,18,0,0,87
2019/5/13,0,0,0,0,0,0,0,0,0
2019/5/14,0,0,0,0,0,0,0,0,0
2019/5/15,371,0,0,241,0,0,1244,0,0
2019/5/16,0,0,0,0,0,0,0,0,0
2019/5/17,0,0,0,0,0,0,0,0,0
2019/5/18,0,0,0,0,0,0,0,0,0
2019/5/19,184,329,4265,519,225,7791,717,1690,25970
2019/5/20,4791,0,767,7959,0,1488,30192,0,4135
2019/5/21,10102,2700,73251,4451,1601,28903,38124,10409,455833
2019/5/22,1304,0,11582,2197,0,6819,7401,0,64064
2019/5/23,666,0,3424,880,0,3407,2844,0,26838
2019/5/24,370,636,478,897,695,584,2677,3853,2189
2019/5/25,0,0,1143,0,0,3875,0,0,7665
2019/5/26,9050,0,61040,4052,0,20774,26758,0,739793
2019/5/27,29405,5259,13824,7529,1384,4183,53090,11246,41932
2019/5/28,0,0,396,0,0,640,0,0,2557
2019/5/29,0,0,593,0,0,437,0,0,1135
2019/5/30,185,0,503,452,0,776,4669,0,7771
2019/5/31,0,0,0,0,0,0,0,0,0
2019/6/1,82,0,0,165,0,0,3308,0,0
2019/6/2,45,0,19,98,0,24,741,0,170
2019/6/3,0,0,592,0,0,304,0,0,2708
2019/6/4,0,0,0,0,0,0,0,0,0
2019/6/5,0,0,340,0,0,101,0,0,965
2019/6/6,0,0,490,0,0,204,0,0,3076
2019/6/7,0,0,1457,0,0,524,0,0,4148
2019/6/8,310,0,141,93,0,109,2291,0,1617
2019/6/9,748,0,85,1029,0,88,5525,0,474
2019/6/10,0,0,0,0,0,0,0,0,0
2019/6/11,0,0,258,0,0,27,0,0,359
2019/6/12,0,0,410,0,0,332,0,0,5862
2019/6/13,0,0,181,0,0,200,0,0,2877
2019/6/14,1059,0,145,0,0,40,2487,0,167
2019/6/15,0,0,244,0,0,40,0,0,362
2019/6/16,1721,0,76,328,0,14,3828,0,141
2019/6/17,163,81,4736,223,86,6899,1482,498,60397
2019/6/18,0,0,2918,0,0,3229,0,0,43194
2019/6/19,0,0,440,0,0,884,0,0,7830
2019/6/20,718,0,441,1066,0,565,10676,0,3477
2019/6/21,0,0,0,0,0,0,0,0,0
2019/6/22,0,0,1369,0,0,592,0,0,3935
2019/6/23,0,0,138,0,0,137,0,0,832
2019/6/24,0,221,0,0,148,0,0,1427,0
2019/6/25,0,0,0,0,0,0,0,0,0
2019/6/26,0,0,111,0,0,229,0,0,1949
2019/6/27,0,0,4720,0,0,11387,0,0,304534
2019/6/28,27,0,4290,34,0,2486,3393,0,45807
2019/6/29,146,0,0,93,0,0,682,0,0
2019/6/30,11,0,1183,41,0,1308,234,0,4389
2019/7/1,0,0,1004,0,0,281,0,0,2284
2019/7/2,0,0,391,0,0,204,0,0,1694
2019/7/3,0,0,77,0,0,122,0,0,658
2019/7/4,21,0,22,10,0,24,77,0,168
2019/7/5,109,0,573,120,0,950,1066,0,3756
2019/7/6,489,0,1213,773,0,1792,3957,0,10147
2019/7/7,1938,0,475,1758,0,794,8672,0,2877
2019/7/8,1463,0,204,1047,0,1033,15353,0,6891
2019/7/9,481,372,4209,1520,206,1262,8884,1103,10867
2019/7/10,849,0,0,1439,0,0,10169,0,0
2019/7/11,82,0,0,65,0,0,320,0,0
2019/7/12,51,0,0,197,0,0,850,0,0
2019/7/13,0,0,0,0,0,0,0,0,0
2019/7/14,0,0,98,0,0,104,0,0,714
2019/7/15,0,0,0,0,0,0,0,0,0
2019/7/16,0,0,0,0,0,0,0,0,0
2019/7/17,0,0,53,0,0,137,0,0,565
2019/7/18,0,0,0,0,0,0,0,0,0
2019/7/19,0,0,125,0,0,420,0,0,2398
