date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2
2019/1/1,13,0,31,47,0,110,204,0,409
2019/1/2,615,0,1132,1496,0,1281,1508,0,1798
2019/1/3,46,0,4091,98,0,4907,188,0,4103
2019/1/4,554,0,1191,1900,0,763,1631,0,1748
2019/1/5,89,13,218,216,100,611,396,194,1336
2019/1/6,133,0,1729,114,0,4804,690,0,3611
2019/1/7,0,0,664,0,0,445,0,0,1813
2019/1/8,9,0,1596,1,0,2719,51,0,3360
2019/1/9,1807,56,187,6505,36,309,6287,159,1021
2019/1/10,4956,132,361,10374,789,194,8248,418,389
2019/1/11,11488,0,33425,3587,0,8556,6281,0,44539
2019/1/12,0,0,258,0,0,827,0,0,724
2019/1/13,813,0,117,1608,0,143,2203,0,303
2019/1/14,56,251,18261,134,515,2130,183,1422,6700
2019/1/15,0,0,646,0,0,452,0,0,1117
2019/1/16,20,0,10126,203,0,6844,332,0,5790
2019/1/17,0,1426,2905,0,1538,3414,0,2066,9902
2019/1/18,199,1535,2290,488,1629,2360,738,5878,8619
2019/1/19,504,70,262,836,41,122,792,107,276
2019/1/20,24972,0,1700,11338,0,832,253645,0,5727
2019/1/21,9766,0,3646,6007,0,2016,9588,0,10983
2019/1/22,835,0,2004,410,0,3130,1254,0,6506
2019/1/23,0,41,151,0,25,139,0,52,1059
2019/1/24,0,0,1096,0,0,1842,0,0,5323
2019/1/25,0,0,676,0,0,743,0,0,352
2019/1/26,131,0,6295,461,0,6273,435,0,1611
2019/1/27,12,49,372,101,141,196,325,146,635
2019/1/28,0,0,5922,0,0,5196,0,0,14295
2019/1/29,579,0,1132,2037,0,2322,1187,0,5592
2019/1/30,104,0,4373,141,0,2542,170,0,5188
2019/1/31,0,0,1763,0,0,2167,0,0,5718
2019/2/1,43,0,453,28,0,316,109,0,1402
2019/2/2,721,70,8173,561,125,8168,6241,518,19418
2019/2/3,2199,0,83,160,0,216,1329,0,1551
2019/2/4,0,0,5053,0,0,5518,0,0,3690
2019/2/5,33,277,561,13,221,624,55,2320,1123
2019/2/6,105,0,115,481,0,93,1185,0,727
2019/2/7,57,0,232,31,0,300,95,0,543
2019/2/8,0,49,137,0,38,461,0,112,1052
2019/2/9,0,0,149,0,0,297,0,0,626
2019/2/10,0,0,57,0,0,346,0,0,721
2019/2/11,0,0,24,0,0,73,0,0,220
2019/2/12,1759,0,692,1883,0,1582,7471,0,1584
2019/2/13,27,0,26202,107,0,189642,197,0,216490
2019/2/14,118,0,3871,165,0,4162,587,0,3185
2019/2/15,0,0,3927,0,0,2437,0,0,4351
2019/2/16,136,0,242,197,0,328,518,0,708
2019/2/17,167,0,0,375,0,0,394,0,0
2019/2/18,0,22,107,0,47,116,0,62,510
2019/2/19,0,0,5664,0,0,8779,0,0,19025
2019/2/20,1672,524,1993,5600,215,3617,4572,940,2482
2019/2/21,463,3316,830,224,1830,2241,896,10710,4637
2019/2/22,28,0,926,36,0,1025,62,0,1341
2019/2/27,66,220,1422,170,495,4578,117,486,3885
2019/2/28,314,0,1102,837,0,1198,852,0,2598
2019/3/1,1495,0,518,1045,0,339,857,0,1456
2019/3/2,28,0,11798,121,0,3236,156,0,4880
2019/3/3,0,0,138,0,0,112,0,0,328
2019/3/4,52,0,903,74,0,1715,118,0,3090
2019/3/5,0,0,534,0,0,1709,0,0,2527
2019/3/6,61,5,1254,372,7,456,1587,56,607
2019/3/7,2832,6590,5123,1940,3178,3881,9682,17958,23771
2019/3/8,84,106,998,141,104,1019,602,431,4389
2019/3/9,45,393,145,84,321,110,122,3331,183
2019/3/10,98,0,0,325,0,0,591,0,0
2019/3/11,23,0,1104,31,0,2861,75,0,7258
2019/3/12,912,0,367,665,0,928,3761,0,1411
2019/3/13,223,455,71,203,441,87,569,1605,468
2019/3/14,843,118,871,2014,163,230,2815,337,598
2019/3/15,239,96,15329,300,331,2606,370,145,5416
2019/3/16,6580,14,62,928,7,385,31593,202,721
2019/3/17,0,0,2283,0,0,1889,0,0,3552
2019/3/18,37,24,100,166,68,169,361,380,466
2019/3/19,0,0,10461,0,0,3795,0,0,19469
2019/3/20,0,291,10195,0,202,6600,0,688,22798
2019/3/21,8582,0,647,1016,0,920,3241,0,2682
2019/3/22,68,0,7718,307,0,3657,773,0,3816
2019/3/23,0,0,7638,0,0,1033,0,0,2990
2019/3/24,0,0,550,0,0,511,0,0,2161
2019/3/25,3450,2144,2447,8394,637,3014,5424,630,8353
2019/3/26,0,0,55908,0,0,17497,0,0,29556
2019/3/27,2371,0,14903,3325,0,12243,6301,0,20192
2019/3/28,0,0,250,0,0,345,0,0,2165
2019/3/29,16,234,301,9,239,110,102,151,407
2019/3/30,391,0,892,933,0,1256,1184,0,2245
2019/3/31,364,0,735,590,0,1132,1054,0,2650
