date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2
2019/1/1,315,145,57,101,1077,212,78,320,491
2019/1/2,175,5,857,421,7,2001,396,186,4771
2019/1/3,545,0,3465,1954,0,4476,859,0,3403
2019/1/4,611,0,1584,3705,0,2066,2861,0,2911
2019/1/5,40,187,8832,187,424,9678,356,650,5173
2019/1/6,8,3,1256,148,92,4041,50,97,3188
2019/1/7,0,0,549,0,0,481,0,0,1134
2019/1/8,313,0,1594,2471,0,2267,1633,0,1748
2019/1/9,1115,22,120,8527,77,464,6852,55,635
2019/1/10,4247,33,825,8157,534,365,6954,207,1585
2019/1/11,0,0,1701,0,0,1066,0,0,654
2019/1/12,0,0,258,0,0,827,0,0,724
2019/1/13,0,0,113,0,0,529,0,0,569
2019/1/14,0,0,57,0,0,288,0,0,418
2019/1/15,124,0,7,340,0,99,294,0,58
2019/1/16,351,0,49,757,0,263,849,0,680
2019/1/17,0,0,725,0,0,1184,0,0,6942
2019/1/18,0,0,0,0,0,0,0,0,0
2019/1/19,286,0,1487,376,0,423,164,0,766
2019/1/20,24,0,105,192,0,102,549,0,258
2019/1/21,0,0,137,0,0,231,0,0,446
2019/1/22,388,0,189,1372,0,283,1626,0,676
2019/1/23,66,0,617,152,0,788,486,0,1681
2019/1/24,0,0,2449,0,0,5232,0,0,16032
2019/1/25,155,0,4532,146,0,2922,117,0,2012
2019/1/26,0,0,6628,0,0,7063,0,0,3673
2019/1/27,12,8,96,101,274,933,325,179,885
2019/1/28,25,0,3050,17,0,1812,51,0,3809
2019/1/29,0,0,1566,0,0,2381,0,0,4755
2019/1/30,1112,0,437,725,0,259,813,0,696
2019/1/31,690,0,341,810,0,1410,777,0,1397
2019/2/1,56,20,4265,45,220,4328,239,211,2714
2019/2/2,0,70,2589,0,125,4087,0,518,6118
2019/2/3,41,0,100,382,0,309,1565,0,498
2019/2/4,0,2431,3790,0,1028,4302,0,421,2396
2019/2/5,0,0,88,0,0,1020,0,0,1641
2019/2/6,83,0,89,540,0,318,1178,0,787
2019/2/7,21,0,145,7,0,208,39,0,335
2019/2/8,7,0,753,60,0,2751,136,0,6610
2019/2/9,0,0,134,0,0,485,0,0,1052
2019/2/10,12,10,137,352,53,463,135,38,914
2019/2/11,11,28,1380,17,1034,165218,83,219,227438
2019/2/12,721,0,206,815,0,1096,2767,0,894
2019/2/13,804,0,26575,397,0,190824,365,0,218583
2019/2/14,113,0,306,960,0,779,1469,0,4650
2019/2/15,267,0,3542,503,0,2594,1491,0,4884
2019/2/16,70,0,109,176,0,92,1983,0,296
2019/2/17,62,0,33,129,0,204,42,0,128
2019/2/18,0,22,93,0,47,556,0,62,493
2019/2/19,0,0,19445,0,0,8371,0,0,8587
2019/2/20,1876,0,1911,6192,0,3490,5698,0,1903
2019/2/21,0,19,126,0,54,557,0,53,1045
2019/2/22,0,0,45,0,0,199,0,0,337
2019/2/27,444,28,1449,282,170,4735,1685,83,4428
2019/2/28,1142,0,1127,1882,0,749,1021,0,3465
2019/3/1,460,0,267,1456,0,229,1062,0,815
2019/3/2,28,0,11672,121,0,4841,156,0,5146
2019/3/3,37,159,19,127,316,230,202,57,234
2019/3/4,0,0,500,0,0,793,0,0,2006
2019/3/5,33,0,273,331,0,594,331,0,3207
2019/3/6,99,5,57,768,7,84,1556,56,264
2019/3/7,0,0,280,0,0,204,0,0,1199
