date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2
2019/1/1,13,0,144,47,0,316,204,0,246
2019/1/2,914,0,39,1965,0,215,1935,0,227
2019/1/3,0,0,81,0,0,195,0,0,331
2019/1/4,1561,0,585,2752,0,1552,4735,0,2364
2019/1/5,32,174,78,144,324,50,227,456,135
2019/1/6,10,0,234,29,0,577,80,0,733
2019/1/7,53,0,8418,0,0,15281,45,0,129493
2019/1/8,499,0,263,334,0,1140,1443,0,2822
2019/1/9,21,56,321,88,36,519,48,159,2017
2019/1/10,0,0,0,0,0,0,0,0,0
2019/1/11,3028,0,200,8424,0,386,6283,0,665
2019/1/12,1429,0,47,3798,0,399,5348,0,924
2019/1/13,2393,0,46,5184,0,7,5245,0,41
2019/1/14,36,0,1462,23,0,1270,236,0,7797
2019/1/15,461,0,2936,203,0,357,557,0,968
2019/1/16,253,0,806,266,0,314,1504,0,765
2019/1/17,336,649,3266,388,224,1161,857,459,3144
2019/1/18,232,0,546,543,0,317,962,0,1516
2019/1/19,425,64,538,920,22,575,295,190,1026
2019/1/20,49,0,40,95,0,42,210,0,189
2019/1/21,1854,0,100,746,0,223,1851,0,116
2019/1/22,3887,0,774,6273,0,2361,9999,0,3105
2019/1/23,432,0,557,846,0,2050,689,0,1798
2019/1/24,0,0,30,0,0,6,0,0,96
2019/1/25,1685,0,188,1752,0,230,3011,0,170
2019/1/26,934,0,321,1499,0,104,2156,0,534
2019/1/27,17,49,878,29,141,673,103,146,1977
2019/1/28,598,0,1275,773,0,815,497,0,5249
2019/1/29,2786,0,1480,6934,0,2436,8927,0,2507
2019/1/30,57,73,277,63,97,436,190,236,1107
2019/1/31,102,256,684,226,122,456,214,195,873
2019/2/1,34,0,215,137,0,135,524,0,718
2019/2/2,0,0,4384,0,0,4042,0,0,14600
2019/2/3,2165,0,220,153,0,198,1304,0,575
2019/2/4,0,0,543,0,0,442,0,0,425
2019/2/5,33,0,315,13,0,376,55,0,245
2019/2/6,178,0,1172,212,0,1006,269,0,908
2019/2/7,151,0,194,155,0,242,373,0,701
2019/2/8,1145,0,134,336,0,59,666,0,309
2019/2/9,0,0,356,0,0,322,0,0,887
2019/2/10,28,0,30,255,0,20,173,0,102
2019/2/11,11,0,330,17,0,430,83,0,501
2019/2/12,1959,0,649,1899,0,986,8300,0,1292
2019/2/13,27,0,0,107,0,0,197,0,0
2019/2/14,378,0,312,890,0,236,2539,0,851
2019/2/15,507,0,348,712,0,325,1772,0,1307
2019/2/16,182,0,410,113,0,300,240,0,577
2019/2/17,11,0,731,22,0,423,57,0,794
2019/2/18,148,31,171,191,22,164,298,50,915
2019/2/19,96,0,0,83,0,0,158,0,0
2019/2/20,622,524,91,804,215,145,610,940,689
2019/2/21,0,19,368,0,54,195,0,53,620
2019/2/22,365,0,0,155,0,0,314,0,0
2019/2/27,0,0,153,0,0,52,0,0,281
2019/2/28,0,0,1790,0,0,789,0,0,2306
2019/3/1,0,0,414,0,0,353,0,0,1223
2019/3/2,447,0,922,772,0,1758,885,0,1548
2019/3/3,21,0,138,15,0,112,73,0,328
2019/3/4,2017,0,44,4933,0,34,6820,0,288
2019/3/5,18,0,163,49,0,306,114,0,401
2019/3/6,402,0,37,432,0,80,2963,0,324
2019/3/7,8961,0,27829,8590,0,22971,38432,0,140706
2019/3/8,1531,0,764,876,0,587,1939,0,3757
2019/3/9,638,393,407,1087,321,678,1022,3331,2366
2019/3/10,0,0,13,0,0,120,0,0,97
2019/3/11,80,0,53,44,0,38,80,0,194
2019/3/12,1854,0,300,3720,0,628,6726,0,2328
2019/3/13,0,0,328,0,0,640,0,0,1477
2019/3/14,182,0,101,1038,0,42,696,0,133
2019/3/15,0,0,0,0,0,0,0,0,0
2019/3/16,6779,0,1617,1077,0,1505,31812,0,6423
2019/3/17,0,0,612,0,0,147,0,0,813
2019/3/18,11132,14,300,3267,18,368,2302,46,1107
2019/3/19,6600,0,9042,4630,0,10162,1666,0,7497
2019/3/20,513,0,6983,377,0,2112,893,0,2079
2019/3/21,8406,0,480,780,0,694,2424,0,1157
2019/3/22,0,0,118,0,0,56,0,0,275
2019/3/23,248,0,100,45,0,76,219,0,240
2019/3/24,0,0,160,0,0,70,0,0,73
2019/3/25,0,0,241,0,0,504,0,0,733
2019/3/26,0,0,1864,0,0,2227,0,0,5347
2019/3/27,58,0,335,157,0,1724,127,0,2310
2019/3/28,133,0,3772,206,0,4292,510,0,1241
2019/3/29,148,62,205,155,218,430,53,325,329
2019/3/30,533,378,292,453,174,519,682,106,958
2019/3/31,142,0,105,198,0,70,380,0,199
2019/4/1,123,0,149,286,0,435,267,0,3161
2019/4/2,182,0,3441,113,0,3470,121,0,7682
2019/4/3,0,0,552,0,0,561,0,0,3464
2019/4/4,270,0,164,1269,0,503,2428,0,854
