date,res0,res1,res2,r
2018/12/1,24,0,82,0.773584906
2018/12/2,31,17,17,0.261538462
2018/12/3,30,20,147,0.746192893
2018/12/4,99,0,140,0.585774059
2018/12/5,51,0,99,0.66
2018/12/6,131,7,119,0.463035019
2018/12/7,77,0,31,0.287037037
2018/12/8,120,0,70,0.368421053
2018/12/9,104,7,49,0.30625
2018/12/10,130,0,115,0.469387755
2018/12/11,117,0,94,0.44549763
2018/12/12,64,21,101,0.543010753
2018/12/13,108,0,164,0.602941176
2018/12/14,163,17,193,0.517426273
2018/12/15,74,0,122,0.62244898
2018/12/16,139,0,89,0.390350877
2018/12/17,51,0,151,0.747524752
2018/12/18,86,0,110,0.56122449
2018/12/19,108,0,152,0.584615385
2018/12/20,96,0,181,0.653429603
2018/12/21,77,0,156,0.669527897
2018/12/22,126,0,89,0.413953488
2018/12/23,91,0,188,0.673835125
2018/12/24,78,0,162,0.675
2018/12/25,48,94,94,0.398305085
2018/12/26,13,0,273,0.954545455
2018/12/27,127,0,160,0.557491289
2018/12/28,26,0,217,0.893004115
2018/12/29,23,14,250,0.871080139
2018/12/30,28,21,112,0.695652174
2018/12/31,103,0,126,0.550218341
2019/1/1,72,6,59,0.430656934
2019/1/2,61,0,130,0.680628272
2019/1/3,83,0,187,0.692592593
2019/1/4,66,0,0,0
2019/1/5,0,0,22,1
2019/1/6,31,0,0,0
2019/1/7,61,0,71,0.537878788
2019/1/8,4,0,42,0.913043478
2019/1/9,12,0,59,0.830985915
2019/1/10,29,0,66,0.694736842
2019/1/11,44,0,11,0.2
2019/1/12,47,0,74,0.611570248
2019/1/13,69,0,10,0.126582278
2019/1/14,40,0,52,0.565217391
2019/1/15,50,0,23,0.315068493
2019/1/16,45,0,133,0.747191011
2019/1/17,108,0,86,0.443298969
2019/1/18,83,14,358,0.786813187
2019/1/19,45,0,19,0.296875
2019/1/20,16,0,57,0.780821918
2019/1/21,28,25,68,0.561983471
2019/1/22,91,0,109,0.545
2019/1/23,80,0,55,0.407407407
2019/1/24,47,34,182,0.692015209
2019/1/25,51,0,70,0.578512397
2019/1/26,32,0,0,0
