date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2,r
2018-12-01,470,22,725,2472,323,1359,3754,221,3161,0.41936515551291276
2018-12-02,143,16,2944,246,103,3444,883,676,18995,0.9246994535519125
2018-12-03,237,128,4501,1710,580,5842,2348,299,15043,0.8272288842544318
2018-12-04,3011,204,35263,2215,147,21560,6446,462,46669,0.8923493451287755
2018-12-05,65,0,60167,364,0,42100,860,0,30227,0.990364994057541
2018-12-06,157955,13627,31467,131778,25659,40617,453745,47525,125043,0.1918667803499264
2018-12-07,60501,1291,127285,46405,2916,13999,203883,10174,59234,0.3814391806546849
2018-12-08,24425,0,25821,18556,0,22765,64994,0,38447,0.44630476698391863
2018-12-09,21733,361,4007,24872,975,5574,50150,768,12626,0.1834288735070127
2018-12-10,15750,2731,14855,22051,11231,26782,38627,9405,68577,0.5248060797394397
2018-12-11,4473,166,39173,7391,2083,38767,11053,1638,126497,0.8840862995749024
2018-12-12,74839,0,116922,68622,0,102440,313283,0,762254,0.6824550182151895
2018-12-13,4253,0,200549,2256,0,38291,15198,0,262557,0.9585034715850003
2018-12-14,6309,0,53799,17417,0,13316,80251,0,22786,0.4636988209079937
2018-12-15,1599,220,46982,3587,271,14034,4853,323,62678,0.9193367373482872
2018-12-16,1300,765,106770,4290,482,9832,4621,1001,41149,0.926802185535515
2018-12-17,2637,0,314010,14841,0,58968,16187,0,1172647,0.9786834590227254
2018-12-18,5741,0,50533,9049,0,16027,32161,0,109334,0.789310956045682
2018-12-19,5782,0,62704,7912,0,34398,20521,0,178667,0.889623335397956
2018-12-20,522,69,16471,1707,49,6987,2258,208,21134,0.9025807104544075
2018-12-21,560,0,7773,1595,0,13366,1683,0,21628,0.9176483209956013
2018-12-22,374,0,5457,885,0,3614,1676,0,6255,0.839274957559827
2018-12-23,2158,367,2000,3796,252,2917,3973,913,8632,0.5417866282789507
2018-12-24,9741,495,129331,34898,1057,43094,28378,728,128524,0.7998729554599916
2018-12-25,628,109,47608,985,126,34397,2106,107,44221,0.9688303514548651
2018-12-26,1149,1732,1652,2629,245,2470,4533,1648,8969,0.523075078914772
2018-12-27,3073,41,105257,1795,73,22911,1728,260,74300,0.9667204614253383
2018-12-28,629,0,10039,900,0,8795,2187,0,37650,0.9382724252491694
2018-12-29,434,1037,22463,992,7225,12709,1245,7855,20655,0.7482007639214635
2018-12-30,425,0,1640,619,0,5497,1009,0,5630,0.8614709851551957
2018-12-31,3177,0,8426,1941,0,6077,3925,0,14534,0.7625262605042017
2019-01-01,681,145,56864,1002,1077,22478,2242,320,14477,0.9449368491025925
2019-01-02,4475,685,2288,13473,440,3890,17183,795,6697,0.2578816648639987
2019-01-03,2649,223,7113,4155,231,7697,4596,653,6788,0.6332795777745198
2019-01-04,3213,0,2425,7043,0,3052,8692,0,5289,0.36232079154607255
2019-01-05,497,187,9503,1012,424,10685,1208,650,8133,0.8768382922071891
2019-01-06,301,3,1981,1209,92,5399,1658,97,5280,0.7902621722846442
2019-01-07,75,132,10812,148,1017,18084,246,520,139000,0.9874260442029241
2019-01-08,1814,0,3451,4226,0,8048,5902,0,13272,0.674720126385749
2019-01-09,2238,78,821,9380,113,1994,7875,214,5051,0.2833165249963982
2019-01-10,4956,165,7650,10374,1323,5785,8248,625,16151,0.5352316515006241
2019-01-11,14774,0,34131,12716,0,9043,13553,0,46130,0.6851250891850216
2019-01-12,11492,0,711,14841,0,2169,24312,0,3607,0.11354407337394105
2019-01-13,2932,116,364,6702,155,1046,6256,282,912,0.1237410071942446
