date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2,r
2018-12-01,56,0,0,210,0,0,80,0,0,0.0
2018-12-02,0,0,0,0,0,0,0,0,0,0
2018-12-03,0,0,27,0,0,38,0,0,93,1.0
2018-12-04,0,0,44,0,0,27,0,0,157,1.0
2018-12-05,17,0,392,82,0,706,114,0,459,0.8796610169491526
2018-12-06,34087,1287,27229,41963,2325,37265,122619,3347,109151,0.4578364397149283
2018-12-07,320,182,2910,528,135,2577,839,163,12748,0.8937849230467602
2018-12-08,7298,0,2968,1585,0,5057,9142,0,6858,0.4522608484259147
2018-12-09,12030,0,0,16863,0,0,25483,0,0,0.0
2018-12-10,4256,2655,8355,9384,11183,11600,18280,9007,23876,0.44455150310357416
2018-12-11,2750,0,432,5963,0,1072,7965,0,679,0.11574147712210381
2018-12-12,53666,0,45082,50799,0,37797,225180,0,249987,0.5024309030340628
2018-12-13,2287,0,0,1663,0,0,10236,0,0,0.0
2018-12-14,312,0,130,463,0,191,3150,0,131,0.1032670779072424
2018-12-15,553,220,0,1488,271,0,2233,323,0,0.0
2018-12-16,435,0,5867,992,0,1663,1066,0,4728,0.8309945088468579
2018-12-17,0,0,0,0,0,0,0,0,0,0
2018-12-18,5515,0,80,7888,0,198,31030,0,380,0.01459271251469251
2018-12-19,175,0,296,744,0,447,1354,0,2633,0.5976278987431404
2018-12-20,39,69,432,87,49,81,122,208,393,0.6121621621621621
2018-12-21,327,0,525,427,0,943,839,0,1728,0.6673627062017122
2018-12-22,161,0,0,489,0,0,505,0,0,0.0
2018-12-23,455,367,235,178,252,314,407,913,828,0.34869587237275257
2018-12-24,24,0,0,57,0,0,151,0,0,0.0
2018-12-25,68,0,375,44,0,151,134,0,716,0.8346774193548387
2018-12-26,787,0,49,1743,0,35,3577,0,141,0.03553379658875553
2018-12-27,0,0,443,0,0,166,0,0,593,1.0
2018-12-28,0,0,44,0,0,21,0,0,85,1.0
2018-12-29,0,0,0,0,0,0,0,0,0,0
2018-12-30,224,0,227,312,0,72,631,0,160,0.2822878228782288
2018-12-31,374,0,33,124,0,197,276,0,72,0.28066914498141265
2019-01-01,0,0,129,0,0,362,0,0,192,1.0
2019-01-02,0,0,0,0,0,0,0,0,0,0
2019-01-03,0,0,81,0,0,195,0,0,331,1.0
2019-01-04,51,0,192,71,0,659,86,0,784,0.8871405317417255
2019-01-05,26,174,115,91,324,78,115,456,226,0.26105919003115263
2019-01-06,87,0,136,72,0,48,193,0,176,0.5056179775280899
2019-01-07,0,0,0,0,0,0,0,0,0,0
2019-01-08,924,0,240,751,0,338,1516,0,1777,0.42463036422646955
2019-01-09,0,56,296,0,36,455,0,159,624,0.8456334563345633
2019-01-10,0,0,0,0,0,0,0,0,0,0
2019-01-11,139,0,0,176,0,0,172,0,0,0.0
2019-01-12,154,0,263,1475,0,716,1228,0,1094,0.4204868154158215
2019-01-13,1667,74,46,3748,123,7,3845,224,41,0.009616368286445012
2019-01-14,548,0,73,574,0,224,577,0,293,0.2577544779379642
2019-01-15,0,0,2798,0,0,796,0,0,2017,1.0
2019-01-16,247,0,879,232,0,202,435,0,597,0.6473765432098766
2019-01-17,118,0,2587,246,0,819,346,0,3417,0.9057480419487588
2019-01-18,33,1535,0,55,1629,0,224,5878,0,0.0
2019-01-19,105,70,397,132,41,322,215,107,627,0.6676587301587301
2019-01-20,151,0,87,183,0,162,722,0,223,0.3089005235602094
2019-01-21,1266,0,0,620,0,0,745,0,0,0.0
2019-01-22,3933,0,2340,6377,0,5095,10145,0,6344,0.40249459601565696
2019-01-23,390,41,535,776,25,1963,603,52,1395,0.6735294117647059
2019-01-24,0,0,80,0,0,132,0,0,237,1.0
2019-01-25,131,0,34,397,0,100,216,0,104,0.24236252545824846
2019-01-26,0,0,129,0,0,42,0,0,83,1.0
2019-01-27,480,49,663,779,141,634,1259,146,2004,0.5363119415109667
2019-01-28,675,0,1224,982,0,1735,958,0,3789,0.7207091744099113
2019-01-29,3723,197,1572,9226,756,2761,10495,178,2501,0.2175809481358846
2019-01-30,1537,812,53,1086,512,275,1723,638,130,0.06769139816730713
2019-01-31,237,42,764,303,20,1574,351,85,2191,0.8135440991557392
2019-02-01,395,0,373,213,0,121,320,0,370,0.48214285714285715
2019-02-02,0,0,292,0,0,138,0,0,248,1.0
2019-02-03,2213,0,224,289,0,163,2005,0,241,0.12229795520934761
2019-02-04,0,0,543,0,0,442,0,0,425,1.0
2019-02-05,0,73,115,0,6,44,0,22,197,0.7789934354485777
2019-02-06,83,0,158,157,0,133,135,0,236,0.5842572062084257
2019-02-07,13,0,991,36,0,213,70,0,500,0.9347229840921558
2019-02-08,1145,0,254,336,0,420,666,0,503,0.35409145607701564
2019-02-09,0,0,626,0,0,794,0,0,3965,1.0
2019-02-10,0,0,19,0,0,55,0,0,483,1.0
2019-02-11,11,0,141,17,0,143,83,0,229,0.8221153846153846
2019-02-12,2033,0,600,2123,0,964,8589,0,1282,0.1825412096722468
2019-02-13,201,0,68,23,0,141,47,0,236,0.6215083798882681
2019-02-14,219,0,241,196,0,185,709,0,687,0.49754135002235134
2019-02-15,274,0,124,238,0,95,383,0,348,0.38782489740082077
2019-02-16,142,0,378,94,0,385,180,0,489,0.750599520383693
2019-02-17,0,0,750,0,0,534,0,0,1127,1.0
2019-02-18,229,0,128,260,0,106,464,0,316,0.36593479707252163
2019-02-19,234,0,2245,424,0,4040,2086,0,11660,0.8673691333558896
2019-02-20,0,0,175,0,0,236,0,0,2755,1.0
2019-02-21,486,3317,642,270,1831,409,1489,10556,1085,0.1063480209111277
2019-02-22,836,0,325,852,0,465,2066,0,1265,0.3537614047168187
2019-02-27,0,0,424,0,0,390,0,0,1232,1.0
2019-02-28,100,0,89,158,0,140,223,0,391,0.5631244323342416
2019-03-01,113,0,230,135,0,103,189,0,433,0.6367414796342478
2019-03-02,844,0,700,2292,0,1672,2829,0,1355,0.38454395377631034
2019-03-03,0,0,194,0,0,137,0,0,448,1.0
2019-03-04,2253,0,659,4994,0,1348,7025,0,2017,0.219938784433756
2019-03-05,18,19,557,49,31,289,114,56,860,0.8559959859508279
2019-03-06,23,0,69,15,0,246,62,0,179,0.8316498316498316
2019-03-07,11261,46496,81399,11140,37717,57171,55098,187097,320605,0.5682971444979108
2019-03-08,1638,106,1109,1472,104,1257,4480,431,4365,0.4498730116294613
2019-03-09,789,393,794,444,321,1089,1188,3331,2693,0.4144176779568919
2019-03-10,2070,199,447,1628,398,310,7813,815,362,0.07968950291981199
2019-03-11,181,0,32,62,0,66,157,0,88,0.3174061433447099
2019-03-12,1006,0,504,746,0,1186,3558,0,1237,0.3553478208085468
2019-03-13,748,0,233,853,0,465,369,0,1004,0.46350762527233114
2019-03-14,497,0,187,610,0,172,1523,0,470,0.23966464296039316
2019-03-15,121,0,1803,108,0,4266,243,0,12053,0.9746154673550608
2019-03-16,6779,0,41,1077,0,13,31812,0,132,0.004667034676569479
2019-03-17,0,0,1240,0,0,1690,0,0,2871,1.0
2019-03-18,10,0,375,10,0,475,31,0,653,0.9671814671814671
2019-03-19,0,0,579,0,0,723,0,0,3971,1.0
2019-03-20,513,0,682,377,0,516,893,0,1250,0.578586622547861
2019-03-21,0,0,313,0,0,291,0,0,643,1.0
2019-03-22,89,0,42,127,0,26,274,0,120,0.27728613569321536
2019-03-23,69,0,95,138,0,143,353,0,380,0.5246179966044142
2019-03-24,0,0,641,0,0,831,0,0,723,1.0
2019-03-25,0,0,82,0,0,185,0,0,257,1.0
2019-03-26,0,0,0,0,0,0,0,0,0,0
2019-03-27,0,0,0,0,0,0,0,0,0,0
2019-03-28,152,0,287,203,0,344,561,0,1183,0.6644688644688644
2019-03-29,158,1447,327,479,1590,597,1610,2796,722,0.1692370964425252
2019-03-30,379,0,0,388,0,0,582,0,0,0.0
2019-03-31,25,0,0,35,0,0,46,0,0,0.0
2019-04-01,0,0,168,0,0,132,0,0,4533,1.0
2019-04-02,117,0,163,82,0,93,113,0,298,0.6397228637413395
2019-04-03,34,0,674,33,0,681,87,0,3650,0.9701492537313433
2019-04-04,247,0,1002,1238,0,1799,2253,0,2674,0.5942689677629437
2019-04-05,0,0,26,0,0,41,0,0,117,1.0
2019-04-06,46,84,64,52,49,32,287,218,64,0.17857142857142858
2019-04-07,0,27,106,0,17,257,0,52,863,0.9273827534039334
2019-04-08,25,0,20,17,0,47,128,0,138,0.5466666666666666
2019-04-09,445,0,148,1138,0,430,4053,0,782,0.19439679817038308
2019-04-10,39,0,88,394,0,204,443,0,391,0.4381013470173188
2019-04-11,0,0,61,0,0,111,0,0,211,1.0
2019-04-12,0,0,186,0,0,433,0,0,525,1.0
2019-04-13,0,0,0,0,0,0,0,0,0,0
2019-04-14,0,0,0,0,0,0,0,0,0,0
2019-04-15,81,71,251,119,45,191,241,251,877,0.6201222378937471
2019-04-16,0,216,66,0,145,66,0,468,180,0.27344434706397897
2019-04-17,110,0,0,142,0,0,414,0,0,0.0
2019-04-18,119,0,18,12,0,14,391,0,79,0.17535545023696683
2019-04-19,0,0,29,0,0,60,0,0,62,1.0
2019-04-20,0,0,0,0,0,0,0,0,0,0
2019-04-21,0,0,71,0,0,193,0,0,137,1.0
2019-04-22,0,0,282,0,0,184,0,0,611,1.0
2019-04-23,22,108,0,17,55,0,85,172,0,0.0
2019-04-24,0,0,125,0,0,208,0,0,360,1.0
2019-04-25,169,0,490,96,0,471,215,0,1141,0.8140975987606507
2019-04-26,0,0,142,0,0,183,0,0,491,1.0
2019-04-28,50,0,0,137,0,0,166,0,0,0.0
2019-04-29,0,0,0,0,0,0,0,0,0,0
2019-04-30,220,0,113,48,0,262,115,0,330,0.6479779411764706
