date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2,r
2018-12-01,0,0,0,0,0,0,0,0,0,0
2018-12-02,0,0,0,0,0,0,0,0,0,0
2018-12-03,0,0,306,0,0,127,0,0,271,1.0
2018-12-04,0,0,0,0,0,0,0,0,0,0
2018-12-05,0,0,0,0,0,0,0,0,0,0
2018-12-06,76791,10222,1383,52912,19577,3486,232140,35510,2568,0.017112720294347072
2018-12-07,486,0,0,2035,0,0,1391,0,0,0.0
2018-12-08,1056,0,3191,1980,0,5405,1795,0,11760,0.8081947036169452
2018-12-09,155,0,2087,335,0,4371,700,0,7892,0.9234234234234234
2018-12-10,2910,76,430,4388,48,898,7994,398,3134,0.2200631288222529
2018-12-11,122,0,198,510,0,380,319,0,805,0.5925449871465296
2018-12-12,2680,0,401,1201,0,3046,16474,0,5304,0.30065965780251497
2018-12-13,960,0,146,297,0,130,3479,0,223,0.09531996179560649
2018-12-14,196,0,436,455,0,153,285,0,423,0.5195071868583162
2018-12-15,141,0,0,31,0,0,194,0,0,0.0
2018-12-16,0,0,830,0,0,735,0,0,3322,1.0
2018-12-17,0,0,0,0,0,0,0,0,0,0
2018-12-18,0,0,1149,0,0,654,0,0,4258,1.0
2018-12-19,0,0,0,0,0,0,0,0,0,0
2018-12-20,0,0,432,0,0,81,0,0,393,1.0
2018-12-21,0,0,246,0,0,716,0,0,156,1.0
2018-12-22,0,0,14,0,0,8,0,0,53,1.0
2018-12-23,0,0,0,0,0,0,0,0,0,0
2018-12-24,0,0,209,0,0,115,0,0,150,1.0
2018-12-25,74,109,0,57,126,0,59,107,0,0.0
2018-12-26,0,0,0,0,0,0,0,0,0,0
2018-12-27,0,0,968,0,0,212,0,0,553,1.0
2018-12-28,0,0,452,0,0,330,0,0,2343,1.0
2018-12-29,0,0,46,0,0,18,0,0,259,1.0
2018-12-30,36,0,85,38,0,52,229,0,61,0.39520958083832336
2018-12-31,52,0,0,34,0,0,235,0,0,0.0
2019-01-01,0,0,0,0,0,0,0,0,0,0
2019-01-02,56,0,0,12,0,0,76,0,0,0.0
2019-01-03,0,0,1362,0,0,889,0,0,1055,1.0
2019-01-04,0,0,0,0,0,0,0,0,0,0
2019-01-05,0,0,0,0,0,0,0,0,0,0
2019-01-06,0,0,0,0,0,0,0,0,0,0
2019-01-07,0,0,0,0,0,0,0,0,0,0
2019-01-08,0,0,197,0,0,235,0,0,113,1.0
2019-01-09,0,22,0,0,77,0,0,55,0,0.0
2019-01-10,0,0,135,0,0,333,0,0,384,1.0
2019-01-11,494,0,195,2028,0,439,1444,0,886,0.2770689026613197
2019-01-12,1504,0,0,99,0,0,207,0,0,0.0
2019-01-13,66,0,0,58,0,0,68,0,0,0.0
2019-01-14,451,0,0,181,0,0,915,0,0,0.0
2019-01-15,4291,0,2796,630,0,665,819,0,787,0.4253103724469363
2019-01-16,350,0,1005,483,0,383,2537,0,1218,0.4360776439089692
2019-01-17,99,649,4384,68,224,2200,303,459,8051,0.8903692887996593
2019-01-18,0,1535,3703,0,1629,5704,0,5878,16400,0.7405377485724124
2019-01-19,176,134,190,168,63,225,426,297,668,0.4614401363442693
2019-01-20,27958,32,2439,12138,16,1545,255727,147,7085,0.03604515984069661
2019-01-21,4385,0,3407,2027,0,1859,7793,0,7032,0.4640229407991548
2019-01-22,983,0,912,1623,0,549,2542,0,1351,0.35326633165829147
2019-01-23,348,41,0,302,25,0,674,52,0,0.0
2019-01-24,0,0,0,0,0,0,0,0,0,0
2019-01-25,0,0,0,0,0,0,0,0,0,0
2019-01-26,0,0,169,0,0,93,0,0,432,1.0
2019-01-27,97,0,711,141,0,467,362,0,883,0.7745208568207441
2019-01-28,0,0,127,0,0,80,0,0,198,1.0
2019-01-29,0,0,1126,0,0,1837,0,0,1593,1.0
2019-01-30,0,0,0,0,0,0,0,0,0,0
2019-01-31,0,0,0,0,0,0,0,0,0,0
2019-02-01,0,0,0,0,0,0,0,0,0,0
2019-02-02,0,0,0,0,0,0,0,0,0,0
2019-02-03,0,0,27,0,0,10,0,0,57,1.0
2019-02-04,0,0,0,0,0,0,0,0,0,0
2019-02-05,0,0,38,0,0,65,0,0,77,1.0
2019-02-06,60,436,235,43,275,157,152,628,247,0.2861621137483206
2019-02-07,142,0,164,125,0,88,318,0,205,0.43857965451055664
2019-02-08,0,0,0,0,0,0,0,0,0,0
2019-02-09,73,0,0,56,0,0,155,0,0,0.0
2019-02-10,0,0,0,0,0,0,0,0,0,0
2019-02-11,0,0,0,0,0,0,0,0,0,0
2019-02-12,0,0,0,0,0,0,0,0,0,0
2019-02-13,201,0,0,23,0,0,47,0,0,0.0
2019-02-14,0,0,18,0,0,58,0,0,83,1.0
2019-02-15,0,0,0,0,0,0,0,0,0,0
2019-02-16,256,0,330,217,0,257,271,0,397,0.5694444444444444
2019-02-17,127,0,769,69,0,469,147,0,900,0.8617492946392583
2019-02-18,64,0,57,56,0,50,117,0,122,0.49141630901287553
2019-02-19,267,0,2245,304,0,4040,1921,0,11660,0.8780642951509517
2019-02-20,0,0,0,0,0,0,0,0,0,0
2019-02-21,62,0,0,36,0,0,190,0,0,0.0
2019-02-22,28,0,55,36,0,90,62,0,209,0.7375
2019-02-27,0,0,413,0,0,2627,0,0,2131,1.0
2019-02-28,202,0,51,152,0,29,408,0,92,0.1841541755888651
2019-03-01,0,0,52,0,0,15,0,0,66,1.0
2019-03-02,0,0,382,0,0,401,0,0,1516,1.0
2019-03-03,0,0,0,0,0,0,0,0,0,0
2019-03-04,447,0,0,2141,0,0,1960,0,0,0.0
2019-03-05,0,0,0,0,0,0,0,0,0,0
2019-03-06,0,0,0,0,0,0,0,0,0,0
2019-03-07,0,0,0,0,0,0,0,0,0,0
2019-03-08,0,0,0,0,0,0,0,0,0,0
2019-03-09,0,0,15,0,0,17,0,0,139,1.0
2019-03-10,0,0,0,0,0,0,0,0,0,0
2019-03-11,0,0,42,0,0,34,0,0,179,1.0
2019-03-12,0,0,0,0,0,0,0,0,0,0
2019-03-13,0,0,0,0,0,0,0,0,0,0
2019-03-14,497,0,86,610,0,130,1523,0,337,0.1737354696826893
2019-03-15,275,0,40,322,0,22,490,0,193,0.19001490312965721
2019-03-16,74,0,69,97,0,186,170,0,254,0.5988235294117648
2019-03-17,80,0,93,211,0,74,328,0,147,0.3365487674169346
2019-03-18,0,0,0,0,0,0,0,0,0,0
2019-03-19,0,0,174,0,0,205,0,0,295,1.0
2019-03-20,513,0,1755,377,0,802,893,0,2392,0.7351455733808675
2019-03-21,0,0,187,0,0,114,0,0,314,1.0
2019-03-22,0,0,0,0,0,0,0,0,0,0
2019-03-23,0,0,0,0,0,0,0,0,0,0
2019-03-24,0,0,0,0,0,0,0,0,0,0
2019-03-25,0,0,0,0,0,0,0,0,0,0
2019-03-26,0,0,0,0,0,0,0,0,0,0
2019-03-27,0,0,0,0,0,0,0,0,0,0
2019-03-28,0,0,0,0,0,0,0,0,0,0
2019-03-29,0,0,122,0,0,167,0,0,393,1.0
2019-03-30,0,0,0,0,0,0,0,0,0,0
2019-03-31,116,0,0,160,0,0,237,0,0,0.0
2019-04-01,123,0,196,286,0,82,267,0,672,0.5842558425584256
2019-04-02,0,0,0,0,0,0,0,0,0,0
2019-04-03,200,0,442,276,0,269,245,0,432,0.6131974248927039
2019-04-04,541,0,387,619,0,268,972,0,295,0.3082414016872161
2019-04-05,696,0,423,1056,0,76,1710,0,850,0.2803990854292247
2019-04-06,0,84,0,0,49,0,0,218,0,0.0
2019-04-07,146,0,0,273,0,0,600,0,0,0.0
2019-04-08,0,0,0,0,0,0,0,0,0,0
2019-04-09,59,0,0,115,0,0,136,0,0,0.0
2019-04-10,0,0,0,0,0,0,0,0,0,0
2019-04-11,0,0,0,0,0,0,0,0,0,0
2019-04-12,0,0,0,0,0,0,0,0,0,0
2019-04-13,0,0,0,0,0,0,0,0,0,0
2019-04-14,0,0,0,0,0,0,0,0,0,0
2019-04-15,378,71,323,481,45,770,597,251,1934,0.6241237113402062
2019-04-16,0,148,112,0,206,114,0,265,706,0.600902643455835
2019-04-17,0,0,0,0,0,0,0,0,0,0
2019-04-18,119,0,568,12,0,423,391,0,561,0.7483124397299904
2019-04-19,25,0,29,37,0,60,97,0,62,0.4870967741935484
2019-04-20,0,0,0,0,0,0,0,0,0,0
2019-04-21,0,0,71,0,0,193,0,0,137,1.0
2019-04-22,0,0,0,0,0,0,0,0,0,0
2019-04-23,0,108,84,0,55,9,0,172,11,0.23690205011389523
2019-04-24,0,0,0,0,0,0,0,0,0,0
2019-04-25,0,0,348,0,0,415,0,0,818,1.0
2019-04-26,136,0,0,254,0,0,479,0,0,0.0
2019-04-28,0,0,152,0,0,225,0,0,672,1.0
2019-04-29,210,0,0,747,0,0,514,0,0,0.0
2019-04-30,243,0,76,56,0,12,159,0,165,0.3558368495077356
2019-05-01,0,0,0,0,0,0,0,0,0,0
2019-05-02,0,131,11,0,90,13,0,389,32,0.08408408408408409
2019-05-03,38,0,0,44,0,0,99,0,0,0.0
2019-05-04,260,106,69,222,80,0,395,111,53,0.0941358024691358
2019-05-05,0,0,29,0,0,36,0,0,168,1.0
2019-05-06,0,0,235,0,0,777,0,0,873,1.0
2019-05-07,0,0,269,0,0,410,0,0,1334,1.0
2019-05-08,20,0,86,0,0,90,38,0,169,0.8560794044665012
2019-05-09,0,0,0,0,0,0,0,0,0,0
2019-05-10,0,0,0,0,0,0,0,0,0,0
2019-05-11,0,0,0,0,0,0,0,0,0,0
2019-05-12,0,0,51,0,0,18,0,0,87,1.0
2019-05-13,0,0,0,0,0,0,0,0,0,0
2019-05-14,0,0,0,0,0,0,0,0,0,0
