date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2,r
2018-12-01,0,0,115,0,0,51,0,0,574,1.0
2018-12-02,0,16,435,0,103,761,0,676,1869,0.7940414507772021
2018-12-03,0,128,2085,0,580,1732,0,299,4435,0.8912409547467329
2018-12-04,2997,204,5777,1876,147,2826,4410,462,9650,0.6438675085540936
2018-12-05,35,0,523,103,0,250,477,0,1088,0.7516155088852988
2018-12-06,377,2118,1029,2682,3757,2631,1309,8668,2537,0.2468137645371993
2018-12-07,0,0,37593,0,0,4510,0,0,21663,1.0
2018-12-08,659,0,0,215,0,0,882,0,0,0.0
2018-12-09,0,0,2087,0,0,4371,0,0,7892,1.0
2018-12-10,6009,2547,10851,9827,10955,14055,16670,8521,39364,0.5409978198469684
2018-12-11,1723,0,11225,1428,0,5279,3088,0,10558,0.8126482688207561
2018-12-12,21499,0,1422,17270,0,1912,72816,0,12852,0.12667976301351636
2018-12-13,3148,0,45125,1353,0,2271,12067,0,12775,0.7840993497439372
2018-12-14,1382,0,23759,10913,0,7646,6176,0,12007,0.7015173795711261
2018-12-15,599,0,32291,1892,0,1762,1239,0,8075,0.9186619564743338
2018-12-16,1248,0,71146,4260,0,6501,4588,0,26074,0.9112962035548292
2018-12-17,2637,0,19513,14841,0,6132,16187,0,13552,0.5379621750706816
2018-12-18,681,0,27602,1732,0,2502,1698,0,16462,0.918878386644829
2018-12-19,5111,0,3172,6335,0,2741,15787,0,8661,0.3486019087712584
2018-12-20,100,0,6764,540,0,1743,1027,0,2349,0.8668849317256249
2018-12-21,353,0,5378,192,0,7509,695,0,11479,0.9515738498789347
2018-12-22,14,0,355,21,0,317,51,0,382,0.9245614035087719
2018-12-23,687,0,66,1443,0,25,1388,0,158,0.06610034510220335
2018-12-24,1819,0,2455,9758,0,1649,10122,0,4704,0.2887206214967057
2018-12-25,74,109,6132,57,126,2778,59,107,21644,0.9828861867078428
2018-12-26,37,0,91,51,0,119,101,0,523,0.7950108459869848
2018-12-27,173,0,1369,474,0,1097,885,0,2512,0.7646697388632873
2018-12-28,0,0,5392,0,0,3448,0,0,29343,1.0
2018-12-29,0,0,5622,0,0,1937,0,0,2831,1.0
2018-12-30,39,0,279,66,0,348,96,0,473,0.8455034588777863
2018-12-31,2565,0,5072,1233,0,5285,2695,0,13931,0.7890581852441441
2019-01-01,13,0,31,47,0,110,204,0,409,0.6756756756756757
2019-01-02,615,0,1132,1496,0,1281,1508,0,1798,0.5378033205619412
2019-01-03,46,0,4091,98,0,4907,188,0,4103,0.9752847465197647
2019-01-04,554,0,1191,1900,0,763,1631,0,1748,0.47540773083344035
2019-01-05,89,13,218,216,100,611,396,194,1336,0.6823195713835487
2019-01-06,133,0,1729,114,0,4804,690,0,3611,0.9154408446891075
2019-01-07,0,0,664,0,0,445,0,0,1813,1.0
2019-01-08,9,0,1596,1,0,2719,51,0,3360,0.9921147880041365
2019-01-09,1807,56,187,6505,36,309,6287,159,1021,0.09268650332987108
2019-01-10,4956,132,361,10374,789,194,8248,418,389,0.03650284211747419
2019-01-11,11488,0,33425,3587,0,8556,6281,0,44539,0.8020319626237532
2019-01-12,0,0,258,0,0,827,0,0,724,1.0
2019-01-13,813,0,117,1608,0,143,2203,0,303,0.10854058222479275
2019-01-14,56,251,18261,134,515,2130,183,1422,6700,0.913631458249022
2019-01-15,0,0,646,0,0,452,0,0,1117,1.0
2019-01-16,20,0,10126,203,0,6844,332,0,5790,0.976195582243191
2019-01-17,0,1426,2905,0,1538,3414,0,2066,9902,0.7633052562232365
2019-01-18,199,1535,2290,488,1629,2360,738,5878,8619,0.5590242669362993
2019-01-19,504,70,262,836,41,122,792,107,276,0.21926910299003322
2019-01-20,24972,0,1700,11338,0,832,253645,0,5727,0.02769487683341493
2019-01-21,9766,0,3646,6007,0,2016,9588,0,10983,0.39625291625005954
2019-01-22,835,0,2004,410,0,3130,1254,0,6506,0.8232548270740505
2019-01-23,0,41,151,0,25,139,0,52,1059,0.9195637355146558
2019-01-24,0,0,1096,0,0,1842,0,0,5323,1.0
2019-01-25,0,0,676,0,0,743,0,0,352,1.0
2019-01-26,131,0,6295,461,0,6273,435,0,1611,0.9324608707089307
2019-01-27,12,49,372,101,141,196,325,146,635,0.6084977238239757
2019-01-28,0,0,5922,0,0,5196,0,0,14295,1.0
2019-01-29,579,0,1132,2037,0,2322,1187,0,5592,0.7040236594287493
2019-01-30,104,0,4373,141,0,2542,170,0,5188,0.9668477392554721
