date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2,r
2018-12-01,338,22,189,837,323,277,2919,221,857,0.2211265251546047
2018-12-02,0,16,109,0,103,158,0,676,570,0.5128676470588235
2018-12-03,0,0,1180,0,0,1419,0,0,1810,1.0
2018-12-04,14,0,9926,339,0,6657,2036,0,9563,0.9162782547748379
2018-12-05,48,0,49507,282,0,34299,746,0,21469,0.9898825586971444
2018-12-06,2178,0,0,2856,0,0,6907,0,0,0.0
2018-12-07,0,0,769,0,0,871,0,0,5445,1.0
2018-12-08,1174,0,3191,830,0,5405,1367,0,11760,0.8579255700257091
2018-12-09,692,0,77,258,0,98,1084,0,1449,0.44395844723892836
2018-12-10,3840,2547,6031,7069,10955,13664,11771,8521,39206,0.5685205204432261
2018-12-11,2118,0,432,2735,0,1072,4238,0,679,0.19363136420081603
2018-12-12,0,0,0,0,0,0,0,0,0,0
2018-12-13,0,0,591,0,0,985,0,0,2509,1.0
2018-12-14,66,0,2707,80,0,1023,682,0,3096,0.8918212699242226
2018-12-15,342,0,9675,1488,0,10738,844,0,46367,0.9614996976416045
2018-12-16,813,0,6315,3268,0,1435,3522,0,7007,0.6599731663685152
2018-12-17,2637,0,44700,14841,0,6835,16187,0,17714,0.6728822123326272
2018-12-18,5120,0,8499,7977,0,578,30727,0,8267,0.283546952654983
2018-12-19,1910,0,970,1725,0,2696,4792,0,4574,0.494390112197756
2018-12-20,221,0,5169,1194,0,3563,1151,0,13930,0.8982876169335658
2018-12-21,31,0,1241,48,0,3902,77,0,6743,0.987045341305431
2018-12-22,46,0,12,43,0,54,272,0,234,0.45385779122541603
2018-12-23,677,0,41,1493,0,107,1771,0,214,0.08412735300952824
2018-12-24,5776,0,557,27239,0,416,25871,0,1806,0.045066082867104514
2018-12-25,31,0,27893,497,0,28141,352,0,15426,0.9878352225601327
2018-12-26,801,0,252,958,0,709,1404,0,1159,0.40128714745409805
2018-12-27,39,0,494,134,0,1983,230,0,10066,0.9688706936505485
2018-12-28,0,0,1164,0,0,1987,0,0,7584,1.0
2018-12-29,93,1037,14613,823,7225,7562,842,7855,8594,0.6325343310583011
2018-12-30,39,0,748,66,0,4077,96,0,2428,0.973034612288704
