date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2,r
2018-12-01,0,0,146,0,0,205,0,0,523,1.0
2018-12-02,0,0,0,0,0,0,0,0,0,0
2018-12-03,0,0,117,0,0,145,0,0,303,1.0
2018-12-04,0,0,103,0,0,62,0,0,709,1.0
2018-12-05,17,0,20362,82,0,14730,114,0,5631,0.9947967559116669
2018-12-06,101972,13627,1294,89082,25659,1598,322023,47525,2217,0.008444669973570117
2018-12-07,1585,182,1616,5428,135,1543,5445,163,6327,0.4230288976097039
2018-12-08,21862,0,4627,18062,0,8992,62304,0,20300,0.2491351260035109
2018-12-09,17054,361,3501,17945,975,5319,41908,768,10430,0.19590681959271736
2018-12-10,7850,108,8751,13645,228,12645,22578,486,28026,0.5239988549254111
2018-12-11,2628,0,4527,5453,0,10166,7646,0,28781,0.7343457036198713
2018-12-12,43041,0,3645,37343,0,4726,199237,0,41365,0.1510093910255437
2018-12-13,125,0,811,626,0,936,2303,0,6451,0.7285815854959118
2018-12-14,761,0,514,1573,0,542,5117,0,527,0.17522692052247066
2018-12-15,1377,0,1819,3458,0,2980,4061,0,36625,0.8232114467408586
2018-12-16,435,0,317,992,0,568,1066,0,570,0.36854103343465044
2018-12-17,0,0,12983,0,0,274,0,0,1616,1.0
2018-12-18,5060,0,184,7317,0,281,30463,0,566,0.02350071801417793
2018-12-19,96,0,57133,381,0,28328,860,0,160511,0.9945938077465842
2018-12-20,39,69,614,87,49,454,122,208,829,0.7677053824362606
2018-12-21,237,0,363,172,0,806,412,0,754,0.700801749271137
2018-12-22,104,0,0,51,0,0,170,0,0,0.0
2018-12-23,818,0,103,1652,0,73,1487,0,316,0.11058664868509778
2018-12-24,308,0,234,541,0,157,1401,0,253,0.22252937111264687
2018-12-25,142,0,399,101,0,799,193,0,1707,0.8695001496557917
2018-12-26,787,0,286,1743,0,498,3577,0,997,0.22578600405679514
2018-12-27,0,0,584,0,0,368,0,0,819,1.0
2018-12-28,0,0,2401,0,0,1162,0,0,8531,1.0
2018-12-29,55,0,273,4,0,253,161,0,792,0.8569570871261378
2018-12-30,47,0,197,79,0,658,277,0,670,0.7909751037344398
2018-12-31,381,0,33,129,0,197,261,0,72,0.2814538676607642
2019-01-01,13,0,144,47,0,316,204,0,246,0.7278350515463917
2019-01-02,914,0,39,1965,0,215,1935,0,227,0.09084041548630784
2019-01-03,0,0,81,0,0,195,0,0,331,1.0
2019-01-04,1561,0,585,2752,0,1552,4735,0,2364,0.33220163849730605
2019-01-05,32,174,78,144,324,50,227,456,135,0.16234567901234567
2019-01-06,10,0,234,29,0,577,80,0,733,0.9284425736620565
2019-01-07,53,0,8418,0,0,15281,45,0,129493,0.9993606888903386
2019-01-08,499,0,263,334,0,1140,1443,0,2822,0.6499000153822488
2019-01-09,21,56,321,88,36,519,48,159,2017,0.8750382848392037
2019-01-10,0,0,0,0,0,0,0,0,0,0
2019-01-11,3028,0,200,8424,0,386,6283,0,665,0.06589065627304329
2019-01-12,1429,0,47,3798,0,399,5348,0,924,0.11469233989116785
2019-01-13,2393,0,46,5184,0,7,5245,0,41,0.007277794982966863
2019-01-14,36,0,1462,23,0,1270,236,0,7797,0.9727457501847746
2019-01-15,461,0,2936,203,0,357,557,0,968,0.7772710689529368
2019-01-16,253,0,806,266,0,314,1504,0,765,0.4823439099283521
2019-01-17,336,649,3266,388,224,1161,857,459,3144,0.7221480351011065
2019-01-18,232,0,546,543,0,317,962,0,1516,0.5779883381924198
2019-01-19,425,64,538,920,22,575,295,190,1026,0.5274969173859433
2019-01-20,49,0,40,95,0,42,210,0,189,0.4336
2019-01-21,1854,0,100,746,0,223,1851,0,116,0.08977505112474438
2019-01-22,3887,0,774,6273,0,2361,9999,0,3105,0.23637258987082843
2019-01-23,432,0,557,846,0,2050,689,0,1798,0.6913057124921532
2019-01-24,0,0,30,0,0,6,0,0,96,1.0
2019-01-25,1685,0,188,1752,0,230,3011,0,170,0.08357021034678795
2019-01-26,934,0,321,1499,0,104,2156,0,534,0.17285508291276136
2019-01-27,17,49,878,29,141,673,103,146,1977,0.8791427859456765
2019-01-28,598,0,1275,773,0,815,497,0,5249,0.7971108938850874
2019-01-29,2786,0,1480,6934,0,2436,8927,0,2507,0.2562026326286398
2019-01-30,57,73,277,63,97,436,190,236,1107,0.7176656151419558
2019-01-31,102,256,684,226,122,456,214,195,873,0.643542199488491
2019-02-01,34,0,215,137,0,135,524,0,718,0.6057855927396484
2019-02-02,0,0,4384,0,0,4042,0,0,14600,1.0
2019-02-03,2165,0,220,153,0,198,1304,0,575,0.2151679306608884
2019-02-04,0,0,543,0,0,442,0,0,425,1.0
2019-02-05,33,0,315,13,0,376,55,0,245,0.9026036644165863
2019-02-06,178,0,1172,212,0,1006,269,0,908,0.8240320427236315
2019-02-07,151,0,194,155,0,242,373,0,701,0.626101321585903
2019-02-08,1145,0,134,336,0,59,666,0,309,0.1895054737636844
2019-02-09,0,0,356,0,0,322,0,0,887,1.0
2019-02-10,28,0,30,255,0,20,173,0,102,0.25
2019-02-11,11,0,330,17,0,430,83,0,501,0.9190962099125365
2019-02-12,1959,0,649,1899,0,986,8300,0,1292,0.19403380841895923
2019-02-13,27,0,0,107,0,0,197,0,0,0.0
2019-02-14,378,0,312,890,0,236,2539,0,851,0.26872839031886286
2019-02-15,507,0,348,712,0,325,1772,0,1307,0.3983101991550996
2019-02-16,182,0,410,113,0,300,240,0,577,0.7063666300768386
2019-02-17,11,0,731,22,0,423,57,0,794,0.9558390578999019
2019-02-18,148,31,171,191,22,164,298,50,915,0.628140703517588
2019-02-19,96,0,0,83,0,0,158,0,0,0.0
2019-02-20,622,524,91,804,215,145,610,940,689,0.19935344827586207
2019-02-21,0,19,368,0,54,195,0,53,620,0.9037433155080213
2019-02-22,365,0,0,155,0,0,314,0,0,0.0
2019-02-27,0,0,153,0,0,52,0,0,281,1.0
2019-02-28,0,0,1790,0,0,789,0,0,2306,1.0
2019-03-01,0,0,414,0,0,353,0,0,1223,1.0
2019-03-02,447,0,922,772,0,1758,885,0,1548,0.6677195198989261
2019-03-03,21,0,138,15,0,112,73,0,328,0.8413391557496361
2019-03-04,2017,0,44,4933,0,34,6820,0,288,0.025891341256366725
2019-03-05,18,0,163,49,0,306,114,0,401,0.8277830637488106
2019-03-06,402,0,37,432,0,80,2963,0,324,0.10405851816894762
2019-03-07,8961,0,27829,8590,0,22971,38432,0,140706,0.7737960070952649
2019-03-08,1531,0,764,876,0,587,1939,0,3757,0.5403004019462662
2019-03-09,638,393,407,1087,321,678,1022,3331,2366,0.33691301376549837
2019-03-10,0,0,13,0,0,120,0,0,97,1.0
2019-03-11,80,0,53,44,0,38,80,0,194,0.5828220858895705
2019-03-12,1854,0,300,3720,0,628,6726,0,2328,0.20930830547698637
2019-03-13,0,0,328,0,0,640,0,0,1477,1.0
2019-03-14,182,0,101,1038,0,42,696,0,133,0.1259124087591241
2019-03-15,0,0,0,0,0,0,0,0,0,0
2019-03-16,6779,0,1617,1077,0,1505,31812,0,6423,0.19395281734501046
2019-03-17,0,0,612,0,0,147,0,0,813,1.0
2019-03-18,11132,14,300,3267,18,368,2302,46,1107,0.09566670259782258
2019-03-19,6600,0,9042,4630,0,10162,1666,0,7497,0.6743187615223375
2019-03-20,513,0,6983,377,0,2112,893,0,2079,0.8623909855676468
2019-03-21,8406,0,480,780,0,694,2424,0,1157,0.1672046481601033
2019-03-22,0,0,118,0,0,56,0,0,275,1.0
2019-03-23,248,0,100,45,0,76,219,0,240,0.4482758620689655
2019-03-24,0,0,160,0,0,70,0,0,73,1.0
2019-03-25,0,0,241,0,0,504,0,0,733,1.0
2019-03-26,0,0,1864,0,0,2227,0,0,5347,1.0
2019-03-27,58,0,335,157,0,1724,127,0,2310,0.9274039482063257
2019-03-28,133,0,3772,206,0,4292,510,0,1241,0.9163876304904471
2019-03-29,148,62,205,155,218,430,53,325,329,0.5007792207792208
2019-03-30,533,378,292,453,174,519,682,106,958,0.431990231990232
2019-03-31,142,0,105,198,0,70,380,0,199,0.34186471663619744
2019-04-01,123,0,149,286,0,435,267,0,3161,0.8470934177787831
2019-04-02,182,0,3441,113,0,3470,121,0,7682,0.9722832966886534
2019-04-03,0,0,552,0,0,561,0,0,3464,1.0
2019-04-04,270,0,164,1269,0,503,2428,0,854,0.2771501457725947
2019-04-05,0,17,775,0,482,369,0,489,1132,0.6973039215686274
2019-04-06,108,0,349,126,0,362,434,0,584,0.6597045338767193
2019-04-07,0,0,24,0,0,10,0,0,86,1.0
2019-04-08,43,0,967,56,0,678,290,0,836,0.8644599303135888
2019-04-09,90,0,2061,566,0,1307,742,0,1678,0.7830540037243948
2019-04-10,0,0,643,0,0,423,0,0,408,1.0
2019-04-11,0,0,10105,0,0,9201,0,0,8676,1.0
2019-04-12,0,0,218,0,0,537,0,0,517,1.0
2019-04-13,0,0,0,0,0,0,0,0,0,0
2019-04-14,0,0,11,0,0,23,0,0,171,1.0
2019-04-15,0,67,54,0,67,218,0,320,1142,0.7569593147751607
2019-04-16,0,0,9433,0,0,4588,0,0,26638,1.0
2019-04-17,274,0,2780,463,0,2618,654,0,8722,0.9103217071755528
2019-04-18,667,0,899,1686,0,976,932,0,843,0.4527736131934033
2019-04-19,0,0,223,0,0,196,0,0,775,1.0
2019-04-20,0,0,256,0,0,747,0,0,600,1.0
2019-04-21,0,0,1708,0,0,587,0,0,1854,1.0
2019-04-22,58,0,3791,200,0,3971,68,0,2244,0.9684475416182733
2019-04-23,36,108,2199,111,55,880,145,172,2588,0.9003813155386082
2019-04-24,178,0,14503,126,0,14377,617,0,7140,0.9750683522373514
2019-04-25,0,0,254,0,0,307,0,0,580,1.0
2019-04-26,0,0,142,0,0,183,0,0,491,1.0
2019-04-28,0,0,0,0,0,0,0,0,0,0
2019-04-29,0,0,9130,0,0,13601,0,0,4512,1.0
2019-04-30,0,0,104,0,0,48,0,0,210,1.0
2019-05-01,0,0,2973,0,0,1195,0,0,1051,1.0
2019-05-02,388,35,45,679,58,21,1731,103,196,0.08046683046683047
2019-05-03,0,115,1730,0,160,877,0,330,6776,0.9394273127753304
2019-05-04,43,0,636,65,0,467,93,0,1389,0.9253620497586335
2019-05-05,238,0,1503,806,0,1163,697,0,5419,0.8228170160797883
2019-05-06,88,0,540,73,0,1152,207,0,2196,0.9135338345864662
2019-05-07,0,0,175,0,0,503,0,0,576,1.0
2019-05-08,401,0,382,573,0,406,457,0,813,0.5280343007915568
2019-05-09,1849,0,137,1523,0,198,1313,0,346,0.12691017517704062
2019-05-10,1274,0,4547,5656,0,3657,10572,0,4545,0.4214406135334369
