date,res0,res1,res2,r
2018-12-01,2,0,32,0.9411764705882353
2018-12-02,26,0,0,0.0
2018-12-03,0,0,2,1.0
2018-12-04,0,0,5,1.0
2018-12-05,0,0,13,1.0
2018-12-06,91,0,33,0.2661290322580645
2018-12-07,8,0,0,0.0
2018-12-08,39,0,8,0.1702127659574468
2018-12-09,21,3,9,0.2727272727272727
2018-12-10,10,0,17,0.6296296296296297
2018-12-11,62,0,10,0.1388888888888889
2018-12-12,61,0,0,0.0
2018-12-13,30,0,20,0.4
2018-12-14,6,21,25,0.4807692307692308
2018-12-15,9,0,8,0.47058823529411764
2018-12-16,61,0,6,0.08955223880597014
2018-12-17,9,0,8,0.47058823529411764
2018-12-18,0,0,21,1.0
2018-12-19,9,0,6,0.4
2018-12-20,14,0,9,0.391304347826087
2018-12-21,9,0,8,0.47058823529411764
2018-12-22,23,0,15,0.39473684210526316
2018-12-23,3,0,20,0.8695652173913043
2018-12-24,15,0,13,0.4642857142857143
2018-12-25,9,2,4,0.26666666666666666
2018-12-26,9,0,11,0.55
2018-12-27,12,0,8,0.4
2018-12-28,0,0,27,1.0
2018-12-29,0,0,14,1.0
2018-12-30,1,3,14,0.7777777777777778
2018-12-31,14,0,0,0.0
2019-01-01,4,2,6,0.5
2019-01-02,4,0,13,0.7647058823529411
2019-01-03,5,0,1,0.16666666666666666
2019-01-04,5,0,0,0.0
2019-01-05,0,0,3,1.0
2019-01-06,1,0,0,0.0
2019-01-07,9,0,0,0.0
2019-01-08,0,0,1,1.0
2019-01-09,0,0,0,0
2019-01-10,0,0,9,1.0
2019-01-11,0,0,2,1.0
2019-01-12,3,0,16,0.8421052631578947
2019-01-13,29,0,0,0.0
2019-01-14,8,0,2,0.2
2019-01-15,2,0,4,0.6666666666666666
2019-01-16,10,0,2,0.16666666666666666
2019-01-17,33,0,23,0.4107142857142857
2019-01-18,0,0,28,1.0
2019-01-19,0,0,0,0
2019-01-20,0,0,2,1.0
2019-01-21,1,0,8,0.8888888888888888
2019-01-22,1,0,8,0.8888888888888888
2019-01-23,7,0,1,0.125
2019-01-24,1,3,13,0.7647058823529411
2019-01-25,3,0,11,0.7857142857142857
2019-01-26,0,0,0,0
2019-01-27,0,0,0,0
2019-01-28,0,0,0,0
2019-01-29,21,0,10,0.3225806451612903
2019-01-30,0,0,0,0
2019-01-31,1,0,2,0.6666666666666666
2019-02-01,9,0,4,0.3076923076923077
2019-02-02,0,0,3,1.0
2019-02-03,0,0,0,0
2019-02-04,0,0,0,0
2019-02-05,0,0,0,0
2019-02-06,0,0,0,0
2019-02-07,9,0,0,0.0
2019-02-08,0,0,0,0
2019-02-09,4,0,0,0.0
2019-02-10,0,0,1,1.0
2019-02-11,0,0,0,0
2019-02-12,0,0,0,0
2019-02-13,16,0,0,0.0
2019-02-14,1,0,6,0.8571428571428571
2019-02-15,8,0,1,0.1111111111111111
2019-02-16,7,0,21,0.75
2019-02-17,21,0,1,0.045454545454545456
2019-02-18,0,0,0,0
2019-02-19,39,0,0,0.0
