date,res0,res1,res2,r
2018-12-01,3,0,0,0.0
2018-12-02,0,0,0,0
2018-12-03,0,0,2,1.0
2018-12-04,0,0,11,1.0
2018-12-05,3,0,0,0.0
2018-12-06,7,0,11,0.6111111111111112
2018-12-07,1,0,0,0.0
2018-12-08,13,0,13,0.5
2018-12-09,0,0,0,0
2018-12-10,12,0,9,0.42857142857142855
2018-12-11,1,0,1,0.5
2018-12-12,0,0,0,0
2018-12-13,2,0,7,0.7777777777777778
2018-12-14,2,0,55,0.9649122807017544
2018-12-15,0,0,5,1.0
2018-12-16,5,0,1,0.16666666666666666
2018-12-17,0,0,0,0
2018-12-18,0,0,1,1.0
2018-12-19,0,0,1,1.0
2018-12-20,4,0,6,0.6
2018-12-21,0,0,10,1.0
2018-12-22,0,0,2,1.0
2018-12-23,0,0,1,1.0
2018-12-24,0,0,1,1.0
2018-12-25,0,0,0,0
2018-12-26,0,0,0,0
2018-12-27,0,0,19,1.0
2018-12-28,0,0,2,1.0
2018-12-29,0,0,2,1.0
2018-12-30,0,0,14,1.0
2018-12-31,20,0,12,0.375
2019-01-01,0,0,0,0
2019-01-02,0,0,11,1.0
2019-01-03,2,0,5,0.7142857142857143
2019-01-04,1,0,0,0.0
2019-01-05,0,0,0,0
2019-01-06,3,0,0,0.0
2019-01-07,0,0,0,0
2019-01-08,0,0,0,0
2019-01-09,0,0,4,1.0
2019-01-10,0,0,1,1.0
2019-01-11,7,0,0,0.0
2019-01-12,0,0,0,0
2019-01-13,0,0,0,0
2019-01-14,0,0,1,1.0
2019-01-15,0,0,0,0
2019-01-16,14,0,13,0.48148148148148145
2019-01-17,2,0,8,0.8
2019-01-18,11,0,84,0.8842105263157894
2019-01-19,8,0,0,0.0
2019-01-20,7,0,0,0.0
2019-01-21,11,26,41,0.5256410256410257
2019-01-22,13,0,21,0.6176470588235294
2019-01-23,17,0,0,0.0
2019-01-24,1,1,5,0.7142857142857143
2019-01-25,1,0,10,0.9090909090909091
2019-01-26,0,0,0,0
2019-01-27,13,0,0,0.0
2019-01-28,4,0,0,0.0
2019-01-29,7,0,0,0.0
2019-01-30,0,0,0,0
2019-01-31,0,0,0,0
2019-02-01,0,0,3,1.0
2019-02-02,0,0,5,1.0
2019-02-03,0,0,0,0
2019-02-04,0,0,0,0
2019-02-05,0,0,0,0
2019-02-06,9,28,0,0.0
2019-02-07,0,0,0,0
2019-02-08,0,0,2,1.0
2019-02-09,0,0,0,0
2019-02-10,0,0,25,1.0
2019-02-11,0,0,0,0
2019-02-12,0,0,0,0
2019-02-13,5,0,0,0.0
2019-02-14,0,0,0,0
2019-02-15,0,0,3,1.0
2019-02-16,0,0,18,1.0
2019-02-17,1,0,0,0.0
2019-02-18,0,0,0,0
2019-02-19,6,0,4,0.4
2019-02-20,0,0,0,0
2019-02-21,0,0,0,0
2019-02-22,1,0,0,0.0
2019-02-23,0,0,0,0
2019-02-24,0,0,2,1.0
2019-02-25,0,22,0,0.0
2019-02-26,0,0,2,1.0
2019-02-27,0,0,0,0
