date,res0,res1,res2,r
2018-12-01,11,0,25,0.6944444444444444
2018-12-02,6,5,22,0.6666666666666666
2018-12-03,2,31,74,0.6915887850467289
2018-12-04,100,0,58,0.3670886075949367
2018-12-05,24,0,32,0.5714285714285714
2018-12-06,17,0,24,0.5853658536585366
2018-12-07,17,0,30,0.6382978723404256
2018-12-08,43,0,15,0.25862068965517243
2018-12-09,32,2,11,0.24444444444444444
2018-12-10,23,0,33,0.5892857142857143
2018-12-11,19,0,22,0.5365853658536586
2018-12-12,11,6,15,0.46875
2018-12-13,13,0,24,0.6486486486486487
2018-12-14,27,0,11,0.2894736842105263
2018-12-15,11,0,14,0.56
2018-12-16,3,0,40,0.9302325581395349
2018-12-17,14,0,41,0.7454545454545455
2018-12-18,39,0,20,0.3389830508474576
2018-12-19,5,0,38,0.8837209302325582
2018-12-20,2,0,41,0.9534883720930233
2018-12-21,6,0,16,0.7272727272727273
2018-12-22,37,0,15,0.28846153846153844
2018-12-23,32,0,28,0.4666666666666667
2018-12-24,18,0,5,0.21739130434782608
2018-12-25,0,22,13,0.37142857142857144
2018-12-26,2,0,115,0.9829059829059829
2018-12-27,29,0,11,0.275
2018-12-28,2,0,54,0.9642857142857143
2018-12-29,15,1,88,0.8461538461538461
2018-12-30,14,0,22,0.6111111111111112
2018-12-31,7,0,64,0.9014084507042254
2019-01-01,17,0,63,0.7875
2019-01-02,25,0,17,0.40476190476190477
2019-01-03,54,0,44,0.4489795918367347
2019-01-04,38,0,0,0.0
2019-01-05,0,0,0,0
2019-01-06,11,0,0,0.0
2019-01-07,1,0,19,0.95
2019-01-08,0,0,0,0
2019-01-09,11,0,12,0.5217391304347826
2019-01-10,29,0,48,0.6233766233766234
2019-01-11,52,0,5,0.08771929824561403
2019-01-12,11,0,20,0.6451612903225806
2019-01-13,13,0,14,0.5185185185185185
2019-01-14,22,0,9,0.2903225806451613
2019-01-15,24,0,0,0.0
2019-01-16,12,0,37,0.7551020408163265
2019-01-17,14,0,23,0.6216216216216216
2019-01-18,48,3,128,0.7150837988826816
2019-01-19,19,0,1,0.05
2019-01-20,1,0,18,0.9473684210526315
2019-01-21,0,5,2,0.2857142857142857
2019-01-22,36,0,16,0.3076923076923077
2019-01-23,12,0,24,0.6666666666666666
2019-01-24,8,0,35,0.813953488372093
2019-01-25,7,0,14,0.6666666666666666
2019-01-26,0,0,0,0
2019-01-27,0,0,5,1.0
2019-01-28,9,0,0,0.0
2019-01-29,25,0,11,0.3055555555555556
2019-01-30,0,0,42,1.0
2019-01-31,56,0,37,0.3978494623655914
2019-02-01,10,0,42,0.8076923076923077
2019-02-02,0,0,40,1.0
2019-02-03,22,0,1,0.043478260869565216
2019-02-04,18,0,0,0.0
2019-02-05,0,0,0,0
