date,res0,res1,res2,r
2018-12-01,10,0,9,0.47368421052631576
2018-12-02,22,2,0,0.0
2018-12-03,0,1,7,0.875
2018-12-04,3,0,30,0.9090909090909091
2018-12-05,5,0,2,0.2857142857142857
2018-12-06,39,8,26,0.3561643835616438
2018-12-07,2,0,2,0.5
2018-12-08,18,0,33,0.6470588235294118
2018-12-09,1,5,5,0.45454545454545453
2018-12-10,18,0,17,0.4857142857142857
2018-12-11,26,0,14,0.35
2018-12-12,18,1,3,0.13636363636363635
2018-12-13,34,0,5,0.1282051282051282
2018-12-14,13,6,24,0.5581395348837209
2018-12-15,31,0,11,0.2619047619047619
2018-12-16,20,0,1,0.047619047619047616
2018-12-17,1,0,2,0.6666666666666666
2018-12-18,19,0,12,0.3870967741935484
2018-12-19,8,0,14,0.6363636363636364
2018-12-20,15,0,8,0.34782608695652173
2018-12-21,14,0,6,0.3
2018-12-22,9,0,8,0.47058823529411764
2018-12-23,8,0,3,0.2727272727272727
2018-12-24,15,0,7,0.3181818181818182
2018-12-25,7,3,7,0.4117647058823529
2018-12-26,17,0,24,0.5853658536585366
2018-12-27,6,0,3,0.3333333333333333
2018-12-28,0,0,5,1.0
2018-12-29,0,0,16,1.0
2018-12-30,5,0,26,0.8387096774193549
2018-12-31,29,0,3,0.09375
2019-01-01,22,2,3,0.1111111111111111
2019-01-02,16,0,17,0.5151515151515151
2019-01-03,16,0,2,0.1111111111111111
2019-01-04,6,0,0,0.0
2019-01-05,0,0,0,0
2019-01-06,2,0,0,0.0
2019-01-07,9,0,10,0.5263157894736842
2019-01-08,6,0,1,0.14285714285714285
2019-01-09,0,0,6,1.0
2019-01-10,0,0,13,1.0
2019-01-11,12,0,3,0.2
2019-01-12,9,0,22,0.7096774193548387
2019-01-13,15,0,0,0.0
2019-01-14,11,0,0,0.0
2019-01-15,2,0,1,0.3333333333333333
2019-01-16,2,0,26,0.9285714285714286
2019-01-17,4,0,19,0.8260869565217391
2019-01-18,1,0,36,0.972972972972973
2019-01-19,2,0,1,0.3333333333333333
2019-01-20,2,0,3,0.6
2019-01-21,2,2,4,0.5
2019-01-22,7,0,5,0.4166666666666667
2019-01-23,4,0,0,0.0
2019-01-24,1,1,28,0.9333333333333333
2019-01-25,4,0,9,0.6923076923076923
2019-01-26,0,0,0,0
2019-01-27,0,0,0,0
2019-01-28,1,0,0,0.0
2019-01-29,4,0,8,0.6666666666666666
2019-01-30,0,0,4,1.0
2019-01-31,4,0,9,0.6923076923076923
2019-02-01,0,0,2,1.0
2019-02-02,0,0,10,1.0
2019-02-03,6,0,0,0.0
2019-02-04,1,0,0,0.0
2019-02-05,0,0,0,0
2019-02-06,0,0,0,0
2019-02-07,0,0,0,0
2019-02-08,1,0,0,0.0
2019-02-09,0,0,0,0
2019-02-10,0,0,4,1.0
2019-02-11,0,0,0,0
2019-02-12,0,0,0,0
2019-02-13,1,0,0,0.0
2019-02-14,3,0,32,0.9142857142857143
2019-02-15,4,0,13,0.7647058823529411
2019-02-16,4,0,14,0.7777777777777778
2019-02-17,6,0,0,0.0
2019-02-18,6,0,1,0.14285714285714285
2019-02-19,17,0,3,0.15
2019-02-20,0,0,0,0
2019-02-21,0,0,5,1.0
2019-02-22,1,4,3,0.375
2019-02-23,1,0,0,0.0
2019-02-24,0,0,5,1.0
2019-02-25,4,6,4,0.2857142857142857
2019-02-26,0,0,22,1.0
2019-02-27,0,0,6,1.0
2019-02-28,9,0,0,0.0
2019-03-01,15,0,0,0.0
2019-03-02,3,0,9,0.75
2019-03-03,0,0,0,0
2019-03-04,17,0,22,0.5641025641025641
2019-03-05,1,0,0,0.0
2019-03-06,0,0,1,1.0
2019-03-07,23,0,0,0.0
2019-03-08,1,0,16,0.9411764705882353
2019-03-09,0,0,0,0
2019-03-10,0,0,0,0
2019-03-11,2,2,6,0.6
2019-03-12,18,0,4,0.18181818181818182
2019-03-13,4,0,1,0.2
2019-03-14,16,0,17,0.5151515151515151
2019-03-15,2,0,2,0.5
2019-03-16,7,0,0,0.0
2019-03-17,0,4,4,0.5
2019-03-18,4,0,7,0.6363636363636364
2019-03-19,0,0,3,1.0
2019-03-20,1,1,22,0.9166666666666666
2019-03-21,44,3,3,0.06
2019-03-22,1,0,0,0.0
2019-03-23,1,0,0,0.0
2019-03-24,0,0,0,0
2019-03-25,1,0,1,0.5
2019-03-26,0,0,0,0
2019-03-27,0,0,5,1.0
2019-03-28,26,0,0,0.0
2019-03-29,10,2,14,0.5384615384615384
2019-03-30,3,0,5,0.625
2019-03-31,0,0,0,0
2019-04-01,0,0,5,1.0
2019-04-02,8,0,6,0.42857142857142855
2019-04-03,1,0,8,0.8888888888888888
2019-04-04,0,0,1,1.0
2019-04-05,0,0,11,1.0
2019-04-06,0,0,0,0
2019-04-07,3,0,2,0.4
2019-04-08,11,4,8,0.34782608695652173
2019-04-09,2,0,8,0.8
2019-04-10,6,0,10,0.625
2019-04-11,0,0,3,1.0
2019-04-12,0,0,5,1.0
2019-04-13,5,0,1,0.16666666666666666
2019-04-14,0,0,2,1.0
2019-04-15,19,0,0,0.0
2019-04-16,2,0,10,0.8333333333333334
2019-04-17,11,0,4,0.26666666666666666
2019-04-18,13,0,6,0.3157894736842105
2019-04-19,1,2,3,0.5
2019-04-20,0,1,3,0.75
2019-04-21,0,0,10,1.0
2019-04-22,6,0,36,0.8571428571428571
2019-04-23,0,0,14,1.0
2019-04-24,0,0,3,1.0
2019-04-25,4,0,1,0.2
2019-04-26,13,0,20,0.6060606060606061
2019-04-27,4,0,2,0.3333333333333333
2019-04-28,2,0,5,0.7142857142857143
2019-04-29,7,0,27,0.7941176470588235
2019-04-30,22,2,1,0.04
2019-05-01,0,0,0,0
2019-05-02,0,0,1,1.0
2019-05-03,10,0,2,0.16666666666666666
2019-05-04,2,0,3,0.6
2019-05-05,31,0,0,0.0
2019-05-06,10,4,8,0.36363636363636365
2019-05-07,0,0,0,0
2019-05-08,0,0,0,0
2019-05-09,1,0,7,0.875
2019-05-10,9,0,12,0.5714285714285714
2019-05-11,0,0,2,1.0
2019-05-12,10,0,0,0.0
2019-05-13,7,0,10,0.5882352941176471
2019-05-14,0,0,0,0
2019-05-15,9,0,2,0.18181818181818182
2019-05-16,54,0,31,0.36470588235294116
2019-05-17,35,2,8,0.17777777777777778
2019-05-18,30,0,3,0.09090909090909091
2019-05-19,27,0,153,0.85
2019-05-20,14,0,23,0.6216216216216216
2019-05-21,7,12,17,0.4722222222222222
2019-05-22,6,0,32,0.8421052631578947
2019-05-23,65,0,28,0.3010752688172043
2019-05-24,36,0,13,0.2653061224489796
2019-05-25,21,5,4,0.13333333333333333
2019-05-26,13,2,4,0.21052631578947367
2019-05-27,13,0,21,0.6176470588235294
2019-05-28,26,3,5,0.14705882352941177
2019-05-29,70,3,20,0.21505376344086022
2019-05-30,29,0,44,0.6027397260273972
2019-05-31,15,0,30,0.6666666666666666
2019-06-01,8,0,0,0.0
2019-06-02,1,0,2,0.6666666666666666
2019-06-03,9,0,28,0.7567567567567568
2019-06-04,11,0,3,0.21428571428571427
2019-06-05,12,0,9,0.42857142857142855
2019-06-06,0,0,23,1.0
2019-06-07,28,0,9,0.24324324324324326
2019-06-08,4,0,23,0.8518518518518519
2019-06-09,7,0,39,0.8478260869565217
2019-06-10,20,0,13,0.3939393939393939
2019-06-11,35,0,19,0.35185185185185186
2019-06-12,16,0,18,0.5294117647058824
2019-06-13,13,0,16,0.5517241379310345
2019-06-14,13,0,20,0.6060606060606061
2019-06-15,1,0,12,0.9230769230769231
2019-06-16,5,0,8,0.6153846153846154
2019-06-17,12,2,1,0.06666666666666667
2019-06-18,15,0,9,0.375
2019-06-19,3,0,5,0.625
2019-06-20,14,0,6,0.3
2019-06-21,6,0,10,0.625
2019-06-22,13,0,8,0.38095238095238093
2019-06-23,25,0,0,0.0
2019-06-24,8,0,27,0.7714285714285715
2019-06-25,3,0,31,0.9117647058823529
2019-06-26,7,0,9,0.5625
2019-06-27,6,1,5,0.4166666666666667
2019-06-28,10,0,15,0.6
2019-06-29,1,0,7,0.875
2019-06-30,0,0,4,1.0
2019-07-01,10,0,5,0.3333333333333333
2019-07-02,41,0,5,0.10869565217391304
2019-07-03,15,0,3,0.16666666666666666
2019-07-04,1,0,6,0.8571428571428571
2019-07-05,0,0,1,1.0
2019-07-06,0,0,0,0
2019-07-07,22,0,1,0.043478260869565216
2019-07-08,29,0,9,0.23684210526315788
2019-07-09,14,0,0,0.0
2019-07-10,0,0,0,0
2019-07-11,0,0,0,0
2019-07-12,0,0,7,1.0
2019-07-13,0,0,3,1.0
2019-07-14,5,0,0,0.0
2019-07-15,6,0,1,0.14285714285714285
2019-07-16,26,0,27,0.5094339622641509
2019-07-17,3,0,0,0.0
2019-07-18,6,0,0,0.0
2019-07-19,19,0,0,0.0
2019-07-20,0,0,0,0
2019-07-21,0,6,0,0.0
2019-07-22,0,0,5,1.0
2019-07-23,2,0,10,0.8333333333333334
2019-07-24,0,0,18,1.0
2019-07-25,34,0,7,0.17073170731707318
2019-07-26,3,0,25,0.8928571428571429
2019-07-27,7,0,45,0.8653846153846154
2019-07-28,14,0,0,0.0
2019-07-29,0,0,16,1.0
2019-07-30,8,0,0,0.0
2019-07-31,7,0,14,0.6666666666666666
2019-08-01,0,0,3,1.0
2019-08-02,7,0,14,0.6666666666666666
2019-08-03,0,0,2,1.0
2019-08-04,0,0,23,1.0
2019-08-05,3,0,0,0.0
2019-08-06,10,0,11,0.5238095238095238
2019-08-07,4,0,0,0.0
2019-08-08,0,0,25,1.0
2019-08-09,8,0,3,0.2727272727272727
2019-08-10,5,1,5,0.45454545454545453
2019-08-11,0,0,6,1.0
2019-08-12,0,0,9,1.0
2019-08-13,6,0,8,0.5714285714285714
2019-08-14,0,0,0,0
2019-08-15,0,0,5,1.0
2019-08-16,3,0,5,0.625
2019-08-17,22,0,7,0.2413793103448276
2019-08-18,0,0,2,1.0
2019-08-19,0,0,10,1.0
2019-08-20,7,0,27,0.7941176470588235
2019-08-21,2,0,0,0.0
2019-08-22,10,0,0,0.0
2019-08-23,1,0,0,0.0
2019-08-24,0,0,0,0
2019-08-25,0,0,0,0
2019-08-26,10,2,19,0.6129032258064516
2019-08-27,0,0,4,1.0
2019-08-28,2,0,3,0.6
2019-08-29,0,0,16,1.0
2019-08-30,3,0,0,0.0
2019-08-31,0,0,0,0
2019-09-01,0,0,0,0
2019-09-02,1,0,17,0.9444444444444444
2019-09-03,0,0,2,1.0
2019-09-04,7,0,1,0.125
2019-09-05,7,0,0,0.0
2019-09-06,0,0,0,0
2019-09-07,3,0,0,0.0
2019-09-08,0,0,4,1.0
2019-09-09,0,0,2,1.0
2019-09-10,0,0,2,1.0
