用户ID,微博数,转发数,评论数,点赞数,积极数,消极数,平均转发,平均评论,平均点赞,积极转发数,积极评论数,积极点赞数,消极转发数,消极评论数,消极点赞数
新浪财经,424,101736,140878,1230589,282,131,239.94 ,332.26 ,2902.33 ,74300,87403,868012,24214,43344,219182
新浪科技,402,118996,109993,1831795,274,119,296.01 ,273.61 ,4556.70 ,91113,74364,1171190,26623,32169,641754
华为终端官方微博,317,535269,286509,1253726,277,25,1688.55 ,903.81 ,3954.97 ,525332,271573,1127576,5862,9943,94266
每日经济新闻,246,58071,52685,1099008,185,54,236.06 ,214.17 ,4467.51 ,48451,41558,863838,9231,9511,107276
环球时报,192,211660,146303,882697,103,81,1102.40 ,761.99 ,4597.38 ,128476,68449,522165,33694,37337,164451
华为中国,169,57305,48520,269530,160,7,339.08 ,287.10 ,1594.85 ,37601,43983,263305,19672,4478,5842
环球网,165,163111,108671,873299,99,60,988.55 ,658.61 ,5292.72 ,146056,86380,760026,15741,20948,99200
观察者网,149,54946,46943,389488,91,53,368.77 ,315.05 ,2614.01 ,35989,28118,227577,15559,17481,152568
C科技,141,6880,50596,215347,69,56,48.79 ,358.84 ,1527.28 ,2990,21569,83245,2610,21599,95664
梨视频,129,20643,33513,155094,94,33,160.02 ,259.79 ,1202.28 ,17790,24953,111798,2736,7995,40663
余承东,112,34047,95238,362425,107,4,303.99 ,850.34 ,3235.94 ,32719,91394,344779,1077,3329,16224
华为终端云服务,105,141532,63628,58606,94,6,1347.92 ,605.98 ,558.15 ,132782,59095,55936,1352,1876,1377
头条新闻,104,79775,116377,1267619,64,36,767.07 ,1119.01 ,12188.64 ,54451,80833,1132079,24081,32310,102070
华为手机,102,265040,70821,130705,98,3,2598.43 ,694.32 ,1281.42 ,254166,69639,125780,10842,955,4316
中国日报,102,15090,22325,275674,73,27,147.94 ,218.87 ,2702.69 ,12866,19558,258676,2049,2607,16089
凤凰网财经,98,15402,35231,130492,58,36,157.16 ,359.50 ,1331.55 ,10898,23015,96530,4367,11325,27627
财经网,94,12963,35388,1411888,77,15,137.90 ,376.47 ,15020.09 ,11770,30682,1310517,946,3594,89148
