日期序号,微博条数,积极条数,消极条数,积极转发,积极评论,积极赞,消极转发,消极评论,消极赞,总转发,总评论,总赞,平均积极转发,平均积极评论,平均积极赞,平均消极转发,平均消极评论,平均消极赞
2018/12/1,20,14,6,725,1359,3161,492,2795,3975,1217 ,4154 ,7136 ,52 ,97 ,226 ,82 ,466 ,663 
2018/12/2,21,16,5,2944,3444,18995,159,349,1559,3103 ,3793 ,20554 ,184 ,215 ,1187 ,32 ,70 ,312 
2018/12/3,30,26,4,4501,5842,15043,365,2290,2647,4866 ,8132 ,17690 ,173 ,225 ,579 ,91 ,573 ,662 
2018/12/4,30,25,5,35263,21560,46669,3215,2362,6908,38478 ,23922 ,53577 ,1411 ,862 ,1867 ,643 ,472 ,1382 
2018/12/5,30,27,3,60167,42100,30227,65,364,860,60232 ,42464 ,31087 ,2228 ,1559 ,1120 ,22 ,121 ,287 
2018/12/6,30,9,21,31467,40617,125043,171582,157437,501270,203049 ,198054 ,626313 ,3496 ,4513 ,13894 ,8171 ,7497 ,23870 
2018/12/7,30,14,16,127285,13999,59234,61792,49321,214057,189077 ,63320 ,273291 ,9092 ,1000 ,4231 ,3862 ,3083 ,13379 
2018/12/8,30,8,22,25821,22765,38447,24425,18556,64994,50246 ,41321 ,103441 ,3228 ,2846 ,4806 ,1110 ,843 ,2954 
2018/12/9,30,5,25,4007,5574,12626,22094,25847,50918,26101 ,31421 ,63544 ,801 ,1115 ,2525 ,884 ,1034 ,2037 
2018/12/10,30,14,16,14855,26782,68577,18481,33282,48032,33336 ,60064 ,116609 ,1061 ,1913 ,4898 ,1155 ,2080 ,3002 
2018/12/11,30,21,9,39173,38767,126497,4639,9474,12691,43812 ,48241 ,139188 ,1865 ,1846 ,6024 ,515 ,1053 ,1410 
2018/12/12,30,16,14,116922,102440,762254,74839,68622,313283,191761 ,171062 ,1075537 ,7308 ,6403 ,47641 ,5346 ,4902 ,22377 
2018/12/13,30,21,9,200549,38291,262557,4253,2256,15198,204802 ,40547 ,277755 ,9550 ,1823 ,12503 ,473 ,251 ,1689 
2018/12/14,30,16,14,53799,13316,22786,6309,17417,80251,60108 ,30733 ,103037 ,3362 ,832 ,1424 ,451 ,1244 ,5732 
2018/12/15,30,13,17,46982,14034,62678,1819,3858,5176,48801 ,17892 ,67854 ,3614 ,1080 ,4821 ,107 ,227 ,304 
2018/12/16,30,26,4,106770,9832,41149,2065,4772,5622,108835 ,14604 ,46771 ,4107 ,378 ,1583 ,516 ,1193 ,1406 
2018/12/17,30,24,6,314010,58968,1172647,2637,14841,16187,316647 ,73809 ,1188834 ,13084 ,2457 ,48860 ,440 ,2474 ,2698 
2018/12/18,30,23,7,50533,16027,109334,5741,9049,32161,56274 ,25076 ,141495 ,2197 ,697 ,4754 ,820 ,1293 ,4594 
2018/12/19,30,18,12,62704,34398,178667,5782,7912,20521,68486 ,42310 ,199188 ,3484 ,1911 ,9926 ,482 ,659 ,1710 
2018/12/20,30,22,8,16471,6987,21134,591,1756,2466,17062 ,8743 ,23600 ,749 ,318 ,961 ,74 ,220 ,308 
2018/12/21,30,24,6,7773,13366,21628,560,1595,1683,8333 ,14961 ,23311 ,324 ,557 ,901 ,93 ,266 ,281 
2018/12/22,28,18,10,5457,3614,6255,374,885,1676,5831 ,4499 ,7931 ,303 ,201 ,348 ,37 ,89 ,168 
2018/12/23,30,15,15,2000,2917,8632,2525,4048,4886,4525 ,6965 ,13518 ,133 ,194 ,575 ,168 ,270 ,326 
2018/12/24,30,15,15,129331,43094,128524,10236,35955,29106,139567 ,79049 ,157630 ,8622 ,2873 ,8568 ,682 ,2397 ,1940 
2018/12/25,30,24,6,47608,34397,44221,737,1111,2213,48345 ,35508 ,46434 ,1984 ,1433 ,1843 ,123 ,185 ,369 
2018/12/26,30,22,8,1652,2470,8969,2881,2874,6181,4533 ,5344 ,15150 ,75 ,112 ,408 ,360 ,359 ,773 
2018/12/27,30,24,6,105257,22911,74300,3114,1868,1988,108371 ,24779 ,76288 ,4386 ,955 ,3096 ,519 ,311 ,331 
2018/12/28,30,26,4,10039,8795,37650,629,900,2187,10668 ,9695 ,39837 ,386 ,338 ,1448 ,157 ,225 ,547 
2018/12/29,30,26,4,22463,12709,20655,1471,8217,9100,23934 ,20926 ,29755 ,864 ,489 ,794 ,368 ,2054 ,2275 
2018/12/30,29,20,9,1640,5497,5630,425,619,1009,2065 ,6116 ,6639 ,82 ,275 ,282 ,47 ,69 ,112 
2018/12/31,20,10,10,8426,6077,14534,3177,1941,3925,11603 ,8018 ,18459 ,843 ,608 ,1453 ,318 ,194 ,393 
2019/1/1,28,18,10,56864,22478,14477,826,2079,2562,57690 ,24557 ,17039 ,3159 ,1249 ,804 ,83 ,208 ,256 
2019/1/2,30,11,19,2288,3890,6697,5160,13913,17978,7448 ,17803 ,24675 ,208 ,354 ,609 ,272 ,732 ,946 
2019/1/3,30,16,14,7113,7697,6788,2872,4386,5249,9985 ,12083 ,12037 ,445 ,481 ,424 ,205 ,313 ,375 
2019/1/4,30,15,15,2425,3052,5289,3213,7043,8692,5638 ,10095 ,13981 ,162 ,203 ,353 ,214 ,470 ,579 
2019/1/5,28,18,10,9503,10685,8133,684,1436,1858,10187 ,12121 ,9991 ,528 ,594 ,452 ,68 ,144 ,186 
2019/1/6,30,18,12,1981,5399,5280,304,1301,1755,2285 ,6700 ,7035 ,110 ,300 ,293 ,25 ,108 ,146 
2019/1/7,30,26,4,10812,18084,139000,207,1165,766,11019 ,19249 ,139766 ,416 ,696 ,5346 ,52 ,291 ,192 
2019/1/8,30,19,11,3451,8048,13272,1814,4226,5902,5265 ,12274 ,19174 ,182 ,424 ,699 ,165 ,384 ,537 
2019/1/9,30,17,13,821,1994,5051,2316,9493,8089,3137 ,11487 ,13140 ,48 ,117 ,297 ,178 ,730 ,622 
2019/1/10,30,9,21,7650,5785,16151,5121,11697,8873,12771 ,17482 ,25024 ,850 ,643 ,1795 ,244 ,557 ,423 
2019/1/11,30,8,22,34131,9043,46130,14774,12716,13553,48905 ,21759 ,59683 ,4266 ,1130 ,5766 ,672 ,578 ,616 
2019/1/12,30,6,24,711,2169,3607,11492,14841,24312,12203 ,17010 ,27919 ,119 ,362 ,601 ,479 ,618 ,1013 
2019/1/13,29,7,22,364,1046,912,3048,6857,6538,3412 ,7903 ,7450 ,52 ,149 ,130 ,139 ,312 ,297 
2019/1/14,30,24,6,22726,7582,17236,1286,1293,3150,24012 ,8875 ,20386 ,947 ,316 ,718 ,214 ,216 ,525 
2019/1/15,30,22,8,19932,14394,11603,4965,1325,2001,24897 ,15719 ,13604 ,906 ,654 ,527 ,621 ,166 ,250 
2019/1/16,30,16,14,11376,7602,7866,991,2756,4408,12367 ,10358 ,12274 ,711 ,475 ,492 ,71 ,197 ,315 
2019/1/17,30,23,7,13029,10503,25035,2510,2218,3685,15539 ,12721 ,28720 ,566 ,457 ,1088 ,359 ,317 ,526 
2019/1/18,30,21,9,3703,5704,16400,2128,2414,7225,5831 ,8118 ,23625 ,176 ,272 ,781 ,236 ,268 ,803 
2019/1/19,30,16,14,2162,1192,2448,1125,3069,2162,3287 ,4261 ,4610 ,135 ,75 ,153 ,80 ,219 ,154 
2019/1/20,30,15,15,4453,5638,12307,28063,12441,256633,32516 ,18079 ,268940 ,297 ,376 ,820 ,1871 ,829 ,17109 
2019/1/21,30,12,18,3909,2629,11930,12036,7132,13991,15945 ,9761 ,25921 ,326 ,219 ,994 ,669 ,396 ,777 
