date,trans0,trans2,comm0,comm2,zan0,zan2,r
2018-12-01,492,725,2795,1359,3975,3161,0.41936515551291276
2018-12-02,159,2944,349,3444,1559,18995,0.9246994535519125
2018-12-03,365,4501,2290,5842,2647,15043,0.8272288842544318
2018-12-04,3215,35263,2362,21560,6908,46669,0.8923493451287755
2018-12-05,65,60167,364,42100,860,30227,0.990364994057541
2018-12-06,171582,31467,157437,40617,501270,125043,0.1918667803499264
2018-12-07,61792,127285,49321,13999,214057,59234,0.3814391806546849
2018-12-08,24425,25821,18556,22765,64994,38447,0.44630476698391863
2018-12-09,22094,4007,25847,5574,50918,12626,0.1834288735070127
2018-12-10,18481,14855,33282,26782,48032,68577,0.5248060797394397
2018-12-11,4639,39173,9474,38767,12691,126497,0.8840862995749024
2018-12-12,74839,116922,68622,102440,313283,762254,0.6824550182151895
2018-12-13,4253,200549,2256,38291,15198,262557,0.9585034715850003
2018-12-14,6309,53799,17417,13316,80251,22786,0.4636988209079937
2018-12-15,1819,46982,3858,14034,5176,62678,0.9193367373482872
2018-12-16,2065,106770,4772,9832,5622,41149,0.926802185535515
2018-12-17,2637,314010,14841,58968,16187,1172647,0.9786834590227254
2018-12-18,5741,50533,9049,16027,32161,109334,0.789310956045682
2018-12-19,5782,62704,7912,34398,20521,178667,0.889623335397956
2018-12-20,591,16471,1756,6987,2466,21134,0.9025807104544075
2018-12-21,560,7773,1595,13366,1683,21628,0.9176483209956013
2018-12-22,374,5457,885,3614,1676,6255,0.839274957559827
2018-12-23,2525,2000,4048,2917,4886,8632,0.5417866282789507
2018-12-24,10236,129331,35955,43094,29106,128524,0.7998729554599916
2018-12-25,737,47608,1111,34397,2213,44221,0.9688303514548651
2018-12-26,2881,1652,2874,2470,6181,8969,0.523075078914772
2018-12-27,3114,105257,1868,22911,1988,74300,0.9667204614253383
2018-12-28,629,10039,900,8795,2187,37650,0.9382724252491694
2018-12-29,1471,22463,8217,12709,9100,20655,0.7482007639214635
2018-12-30,425,1640,619,5497,1009,5630,0.8614709851551957
2018-12-31,3177,8426,1941,6077,3925,14534,0.7625262605042017
2019-01-01,826,56864,2079,22478,2562,14477,0.9449368491025925
2019-01-02,5160,2288,13913,3890,17978,6697,0.2578816648639987
2019-01-03,2872,7113,4386,7697,5249,6788,0.6332795777745198
2019-01-04,3213,2425,7043,3052,8692,5289,0.36232079154607255
2019-01-05,684,9503,1436,10685,1858,8133,0.8768382922071891
2019-01-06,304,1981,1301,5399,1755,5280,0.7902621722846442
2019-01-07,207,10812,1165,18084,766,139000,0.9874260442029241
2019-01-08,1814,3451,4226,8048,5902,13272,0.674720126385749
2019-01-09,2316,821,9493,1994,8089,5051,0.2833165249963982
2019-01-10,5121,7650,11697,5785,8873,16151,0.5352316515006241
2019-01-11,14774,34131,12716,9043,13553,46130,0.6851250891850216
2019-01-12,11492,711,14841,2169,24312,3607,0.11354407337394105
2019-01-13,3048,364,6857,1046,6538,912,0.1237410071942446
2019-01-14,1286,22726,1293,7582,3150,17236,0.8924595949167495
2019-01-15,4943,19932,1185,14394,1729,11603,0.8539210947086603
2019-01-16,991,11376,2756,7602,4408,7866,0.7669933426669333
2019-01-17,2510,13029,2218,10503,3685,25035,0.8523517023517023
2019-01-18,2128,3703,2414,5704,7225,16400,0.6868313195294619
2019-01-19,1105,2162,2962,1192,1980,2448,0.4896615748164402
2019-01-20,28063,4453,12441,5638,256633,12307,0.07009560767990987
2019-01-21,12027,3909,7012,2629,13546,11930,0.3617417193896539
2019-01-22,5184,5446,7549,6330,11844,10417,0.47451357707932434
2019-01-23,1483,2231,1334,4054,2396,5445,0.692321312636487
2019-01-24,378,4069,440,7337,1902,24797,0.930118438969247
2019-01-25,2091,8186,2140,7793,3517,7727,0.7536720289947224
2019-01-26,1132,26894,1719,9487,2230,6610,0.8943043767681811
2019-01-27,762,1763,1950,2909,2792,4823,0.6330422028135209
2019-01-28,700,7257,999,6563,1009,18175,0.9219664005993718
2019-01-29,3920,4667,9982,6421,10673,14703,0.5120716356272088
2019-01-30,2475,4742,1826,3577,3554,6629,0.6555277814322676
2019-01-31,1509,3134,1829,4358,2207,8519,0.7427630358136945
2019-02-01,555,21446,772,11346,1620,14319,0.9411282911822286
2019-02-02,968,15380,1111,13292,7035,25747,0.8565469913273417
2019-02-03,2331,2016,1122,2317,3137,3914,0.5558401294062142
2019-02-04,2675,11875,2212,14048,2411,9465,0.8290305955114089
2019-02-05,442,3589,267,4790,2422,5571,0.8166969147005445
2019-02-06,843,1920,1836,1987,2644,2469,0.5450038464826054
2019-02-07,220,2564,482,2708,573,4658,0.8862115127175368
2019-02-08,1325,1488,914,4144,1456,9086,0.7993265627545756
2019-02-09,206,1163,382,1768,833,5842,0.8606042770257014
2019-02-10,149,630,825,2952,587,3974,0.8287813973894922
2019-02-11,4425,135531,13026,197177,10125,251744,0.9549432378910768
2019-02-12,2797,1289,3037,2400,11597,3845,0.3017824954936912
2019-02-13,1538,28244,2255,194450,9996,235022,0.9707553472391597
2019-02-14,671,5953,2316,7727,4681,13080,0.7772743116068317
2019-02-15,636,4569,869,3514,2291,7690,0.8060197250753743
2019-02-16,890,1080,1899,1410,3738,2402,0.4284087923636045
2019-02-17,740,1267,1121,1454,1293,2078,0.603420093046649
2019-02-18,937,1378,619,2729,1276,9611,0.8288821752265861
2019-02-19,638,22706,1308,16080,3281,26238,0.9255953651905311
2019-02-20,2300,2318,7550,4129,7635,6978,0.43432546101585245
2019-02-21,3838,1267,2438,3918,12305,7473,0.40519862991773103
2019-02-22,945,1452,1068,2270,2526,4150,0.6342760454435581
2019-02-27,820,2000,1121,5358,2595,5484,0.7389803199447578
2019-02-28,1771,3290,3335,2563,2283,8503,0.6601977466084157
2019-03-01,1820,1509,2575,1977,2462,4059,0.52388557144841
2019-03-02,1606,30183,3519,7285,4272,10276,0.8355471552825466
2019-03-03,631,626,900,1218,1817,1612,0.5079365079365079
2019-03-04,3178,3494,6080,5997,12467,22212,0.593378004042824
2019-03-05,149,1759,816,3481,758,7688,0.8823971059995904
2019-03-06,534,110459,1693,7639,5069,19992,0.9498163509553877
2019-03-07,57757,81399,48857,57171,242195,320605,0.5682971444979108
2019-03-08,2078,14315,2326,12005,6411,11840,0.7791730474732006
2019-03-09,1780,1176,2147,2143,5589,5112,0.4697721067587898
2019-03-10,3371,1362,4553,1391,10361,1432,0.1862483311081442
2019-03-11,321,4893,475,9919,875,15266,0.9473684210526315
2019-03-12,2784,1148,6984,2315,13948,4420,0.24946991993417514
2019-03-13,2442,98278,3917,39628,6611,75232,0.9426380313832328
2019-03-14,1171,7587,7158,3607,10976,7572,0.4929211210632765
2019-03-15,723,20883,2571,8900,2523,24421,0.9030839206277803
2019-03-16,7502,2080,2831,2991,34709,9563,0.24522421073798512
2019-03-17,239,3688,1294,3150,1242,5889,0.8209908398916269
2019-03-18,11635,948,4367,1478,4736,3592,0.22492151293167886
2019-03-19,6736,38798,5456,39050,2875,40309,0.8869047619047619
2019-03-20,823,15590,1021,11664,1719,26343,0.937666200139958
2019-03-21,8986,2415,2763,3169,6532,6287,0.39370522685062354
2019-03-22,569,9188,1305,7820,2968,9263,0.8443737344518368
2019-03-23,681,8432,3319,2731,2614,5568,0.7166845148854144
2019-03-24,1389,1753,2788,4650,5908,5049,0.5317360820912848
2019-03-25,3231,4499,3892,5478,2552,12695,0.7008996197483538
