date,trans0,trans2,comm0,comm2,zan0,zan2,r
2018-12-01,56,0,210,0,80,0,0.0
2018-12-02,0,0,0,0,0,0,0
2018-12-03,0,27,0,38,0,93,1.0
2018-12-04,0,44,0,27,0,157,1.0
2018-12-05,17,392,82,706,114,459,0.8796610169491526
2018-12-06,35374,27229,44288,37265,125966,109151,0.4578364397149283
2018-12-07,502,2910,663,2577,1002,12748,0.8937849230467602
2018-12-08,7298,2968,1585,5057,9142,6858,0.4522608484259147
2018-12-09,12030,0,16863,0,25483,0,0.0
2018-12-10,6911,8355,20567,11600,27287,23876,0.44455150310357416
2018-12-11,2750,432,5963,1072,7965,679,0.11574147712210381
2018-12-12,53666,45082,50799,37797,225180,249987,0.5024309030340628
2018-12-13,2287,0,1663,0,10236,0,0.0
2018-12-14,312,130,463,191,3150,131,0.1032670779072424
2018-12-15,773,0,1759,0,2556,0,0.0
2018-12-16,435,5867,992,1663,1066,4728,0.8309945088468579
2018-12-17,0,0,0,0,0,0,0
2018-12-18,5515,80,7888,198,31030,380,0.01459271251469251
2018-12-19,175,296,744,447,1354,2633,0.5976278987431404
2018-12-20,108,432,136,81,330,393,0.6121621621621621
2018-12-21,327,525,427,943,839,1728,0.6673627062017122
2018-12-22,161,0,489,0,505,0,0.0
2018-12-23,822,235,430,314,1320,828,0.34869587237275257
2018-12-24,24,0,57,0,151,0,0.0
2018-12-25,68,375,44,151,134,716,0.8346774193548387
2018-12-26,787,49,1743,35,3577,141,0.03553379658875553
2018-12-27,0,443,0,166,0,593,1.0
2018-12-28,0,44,0,21,0,85,1.0
2018-12-29,0,0,0,0,0,0,0
2018-12-30,224,227,312,72,631,160,0.2822878228782288
2018-12-31,374,33,124,197,276,72,0.28066914498141265
2019-01-01,0,129,0,362,0,192,1.0
2019-01-02,0,0,0,0,0,0,0
2019-01-03,0,81,0,195,0,331,1.0
2019-01-04,51,192,71,659,86,784,0.8871405317417255
2019-01-05,200,115,415,78,571,226,0.26105919003115263
2019-01-06,87,136,72,48,193,176,0.5056179775280899
2019-01-07,0,0,0,0,0,0,0
2019-01-08,924,240,751,338,1516,1777,0.42463036422646955
2019-01-09,56,296,36,455,159,624,0.8456334563345633
2019-01-10,0,0,0,0,0,0,0
2019-01-11,139,0,176,0,172,0,0.0
2019-01-12,154,263,1475,716,1228,1094,0.4204868154158215
2019-01-13,1741,46,3871,7,4069,41,0.009616368286445012
2019-01-14,548,73,574,224,577,293,0.2577544779379642
2019-01-15,0,2798,0,796,0,2017,1.0
2019-01-16,247,879,232,202,435,597,0.6473765432098766
2019-01-17,118,2587,246,819,346,3417,0.9057480419487588
2019-01-18,1568,0,1684,0,6102,0,0.0
2019-01-19,175,397,173,322,322,627,0.6676587301587301
2019-01-20,151,87,183,162,722,223,0.3089005235602094
2019-01-21,1266,0,620,0,745,0,0.0
2019-01-22,3933,2340,6377,5095,10145,6344,0.40249459601565696
2019-01-23,431,535,801,1963,655,1395,0.6735294117647059
2019-01-24,0,80,0,132,0,237,1.0
2019-01-25,131,34,397,100,216,104,0.24236252545824846
2019-01-26,0,129,0,42,0,83,1.0
2019-01-27,529,663,920,634,1405,2004,0.5363119415109667
2019-01-28,675,1224,982,1735,958,3789,0.7207091744099113
2019-01-29,3920,1572,9982,2761,10673,2501,0.2175809481358846
2019-01-30,2349,53,1598,275,2361,130,0.06769139816730713
2019-01-31,279,764,323,1574,436,2191,0.8135440991557392
2019-02-01,395,373,213,121,320,370,0.48214285714285715
2019-02-02,0,292,0,138,0,248,1.0
2019-02-03,2213,224,289,163,2005,241,0.12229795520934761
2019-02-04,0,543,0,442,0,425,1.0
2019-02-05,73,115,6,44,22,197,0.7789934354485777
2019-02-06,83,158,157,133,135,236,0.5842572062084257
2019-02-07,13,991,36,213,70,500,0.9347229840921558
2019-02-08,1145,254,336,420,666,503,0.35409145607701564
2019-02-09,0,626,0,794,0,3965,1.0
2019-02-10,0,19,0,55,0,483,1.0
2019-02-11,11,141,17,143,83,229,0.8221153846153846
2019-02-12,2033,600,2123,964,8589,1282,0.1825412096722468
2019-02-13,201,68,23,141,47,236,0.6215083798882681
2019-02-14,219,241,196,185,709,687,0.49754135002235134
2019-02-15,274,124,238,95,383,348,0.38782489740082077
