date,trans0,trans2,comm0,comm2,zan0,zan2,r
2018-12-01,0,115,0,51,0,574,1.0
2018-12-02,16,435,103,761,676,1869,0.7940414507772021
2018-12-03,128,2085,580,1732,299,4435,0.8912409547467329
2018-12-04,3201,5777,2023,2826,4872,9650,0.6438675085540936
2018-12-05,35,523,103,250,477,1088,0.7516155088852988
2018-12-06,2495,1029,6439,2631,9977,2537,0.2468137645371993
2018-12-07,0,37593,0,4510,0,21663,1.0
2018-12-08,659,0,215,0,882,0,0.0
2018-12-09,0,2087,0,4371,0,7892,1.0
2018-12-10,8556,10851,20782,14055,25191,39364,0.5409978198469684
2018-12-11,1723,11225,1428,5279,3088,10558,0.8126482688207561
2018-12-12,21499,1422,17270,1912,72816,12852,0.12667976301351636
2018-12-13,3148,45125,1353,2271,12067,12775,0.7840993497439372
2018-12-14,1382,23759,10913,7646,6176,12007,0.7015173795711261
2018-12-15,599,32291,1892,1762,1239,8075,0.9186619564743338
2018-12-16,1248,71146,4260,6501,4588,26074,0.9112962035548292
2018-12-17,2637,19513,14841,6132,16187,13552,0.5379621750706816
2018-12-18,681,27602,1732,2502,1698,16462,0.918878386644829
2018-12-19,5111,3172,6335,2741,15787,8661,0.3486019087712584
2018-12-20,100,6764,540,1743,1027,2349,0.8668849317256249
2018-12-21,353,5378,192,7509,695,11479,0.9515738498789347
2018-12-22,14,355,21,317,51,382,0.9245614035087719
2018-12-23,687,66,1443,25,1388,158,0.06610034510220335
2018-12-24,1819,2455,9758,1649,10122,4704,0.2887206214967057
2018-12-25,183,6132,183,2778,166,21644,0.9828861867078428
2018-12-26,37,91,51,119,101,523,0.7950108459869848
2018-12-27,173,1369,474,1097,885,2512,0.7646697388632873
2018-12-28,0,5392,0,3448,0,29343,1.0
2018-12-29,0,5622,0,1937,0,2831,1.0
2018-12-30,39,279,66,348,96,473,0.8455034588777863
2018-12-31,2565,5072,1233,5285,2695,13931,0.7890581852441441
2019-01-01,13,31,47,110,204,409,0.6756756756756757
2019-01-02,615,1132,1496,1281,1508,1798,0.5378033205619412
2019-01-03,46,4091,98,4907,188,4103,0.9752847465197647
2019-01-04,554,1191,1900,763,1631,1748,0.47540773083344035
2019-01-05,102,218,316,611,590,1336,0.6823195713835487
2019-01-06,133,1729,114,4804,690,3611,0.9154408446891075
2019-01-07,0,664,0,445,0,1813,1.0
2019-01-08,9,1596,1,2719,51,3360,0.9921147880041365
2019-01-09,1863,187,6541,309,6446,1021,0.09268650332987108
2019-01-10,5088,361,11163,194,8666,389,0.03650284211747419
2019-01-11,11488,33425,3587,8556,6281,44539,0.8020319626237532
2019-01-12,0,258,0,827,0,724,1.0
2019-01-13,813,117,1608,143,2203,303,0.10854058222479275
2019-01-14,307,18261,649,2130,1605,6700,0.913631458249022
2019-01-15,0,646,0,452,0,1117,1.0
2019-01-16,20,10126,203,6844,332,5790,0.976195582243191
2019-01-17,1426,2905,1538,3414,2066,9902,0.7633052562232365
2019-01-18,1734,2290,2117,2360,6616,8619,0.5590242669362993
2019-01-19,574,262,877,122,899,276,0.21926910299003322
2019-01-20,24972,1700,11338,832,253645,5727,0.02769487683341493
2019-01-21,9766,3646,6007,2016,9588,10983,0.39625291625005954
2019-01-22,835,2004,410,3130,1254,6506,0.8232548270740505
2019-01-23,41,151,25,139,52,1059,0.9195637355146558
2019-01-24,0,1096,0,1842,0,5323,1.0
2019-01-25,0,676,0,743,0,352,1.0
2019-01-26,131,6295,461,6273,435,1611,0.9324608707089307
2019-01-27,61,372,242,196,471,635,0.6084977238239757
2019-01-28,0,5922,0,5196,0,14295,1.0
2019-01-29,579,1132,2037,2322,1187,5592,0.7040236594287493
2019-01-30,104,4373,141,2542,170,5188,0.9668477392554721
2019-01-31,0,1763,0,2167,0,5718,1.0
2019-02-01,43,453,28,316,109,1402,0.9234368353891961
2019-02-02,791,8173,686,8168,6759,19418,0.8127969087396295
2019-02-03,2199,83,160,216,1329,1551,0.3340556157457566
2019-02-04,0,5053,0,5518,0,3690,1.0
2019-02-05,310,561,234,624,2375,1123,0.4415534723550794
2019-02-06,105,115,481,93,1185,727,0.34552845528455284
2019-02-07,57,232,31,300,95,543,0.8545310015898251
2019-02-08,49,137,38,461,112,1052,0.8923742563547864
2019-02-09,0,149,0,297,0,626,1.0
2019-02-10,0,57,0,346,0,721,1.0
2019-02-11,0,24,0,73,0,220,1.0
2019-02-12,1759,692,1883,1582,7471,1584,0.25769821655200054
2019-02-13,27,26202,107,189642,197,216490,0.9992349739405776
2019-02-14,118,3871,165,4162,587,3185,0.9280277961614825
2019-02-15,0,3927,0,2437,0,4351,1.0
2019-02-16,136,242,197,328,518,708,0.6002818224518554
2019-02-17,167,0,375,0,394,0,0.0
2019-02-18,22,107,47,116,62,510,0.8483796296296297
2019-02-19,0,5664,0,8779,0,19025,1.0
2019-02-20,2196,1993,5815,3617,5512,2482,0.3743696507055286
2019-02-21,3779,830,2054,2241,11606,4637,0.30651767606473934
2019-02-22,28,926,36,1025,62,1341,0.9631363370392042
2019-02-27,286,1422,665,4578,603,3885,0.8641489640702859
2019-02-28,314,1102,837,1198,852,2598,0.7097522098246631
2019-03-01,1495,518,1045,339,857,1456,0.40507880910683014
2019-03-02,28,11798,121,3236,156,4880,0.9849151787922251
2019-03-03,0,138,0,112,0,328,1.0
2019-03-04,52,903,74,1715,118,3090,0.959005376344086
2019-03-05,0,534,0,1709,0,2527,1.0
2019-03-06,66,1254,379,456,1643,607,0.5259931895573212
2019-03-07,9422,5123,5118,3881,27640,23771,0.4372623574144487
2019-03-08,190,998,245,1019,1033,4389,0.8135636271272543
2019-03-09,438,145,405,110,3453,183,0.09252217997465145
2019-03-10,98,0,325,0,591,0,0.0
2019-03-11,23,1104,31,2861,75,7258,0.9886363636363636
2019-03-12,912,367,665,928,3761,1411,0.3363998010939831
2019-03-13,678,71,644,87,2174,468,0.15186802523047063
2019-03-14,961,871,2177,230,3152,598,0.2126674176993366
2019-03-15,335,15329,631,2606,515,5416,0.9403592139175257
2019-03-16,6594,62,935,385,31795,721,0.028845203990911786
2019-03-17,0,2283,0,1889,0,3552,1.0
2019-03-18,61,100,234,169,741,466,0.4150197628458498
2019-03-19,0,10461,0,3795,0,19469,1.0
2019-03-20,291,10195,202,6600,688,22798,0.9710354637759356
2019-03-21,8582,647,1016,920,3241,2682,0.24865402621722846
2019-03-22,68,7718,307,3657,773,3816,0.9297386620968235
2019-03-23,0,7638,0,1033,0,2990,1.0
2019-03-24,0,550,0,511,0,2161,1.0
2019-03-25,5594,2447,9031,3014,6054,8353,0.4004870553445627
2019-03-26,0,55908,0,17497,0,29556,1.0
2019-03-27,2371,14903,3325,12243,6301,20192,0.7978090503075757
2019-03-28,0,250,0,345,0,2165,1.0
2019-03-29,250,301,248,110,253,407,0.521351179094965
2019-03-30,391,892,933,1256,1184,2245,0.6365744095058687
2019-03-31,364,735,590,1132,1054,2650,0.6922605363984674
2019-04-01,355,249,829,742,2567,2334,0.4698982475975127
2019-04-02,0,3412,0,2496,0,5370,1.0
2019-04-03,169,2373,257,2227,153,7666,0.9549240949785909
