date,trans0,trans2,comm0,comm2,zan0,zan2,r
2018-12-01,360,189,1160,277,3140,857,0.2211265251546047
2018-12-02,16,109,103,158,676,570,0.5128676470588235
2018-12-03,0,1180,0,1419,0,1810,1.0
2018-12-04,14,9926,339,6657,2036,9563,0.9162782547748379
2018-12-05,48,49507,282,34299,746,21469,0.9898825586971444
2018-12-06,2178,0,2856,0,6907,0,0.0
2018-12-07,0,769,0,871,0,5445,1.0
2018-12-08,1174,3191,830,5405,1367,11760,0.8579255700257091
2018-12-09,692,77,258,98,1084,1449,0.44395844723892836
2018-12-10,6387,6031,18024,13664,20292,39206,0.5685205204432261
2018-12-11,2118,432,2735,1072,4238,679,0.19363136420081603
2018-12-12,0,0,0,0,0,0,0
2018-12-13,0,591,0,985,0,2509,1.0
2018-12-14,66,2707,80,1023,682,3096,0.8918212699242226
2018-12-15,342,9675,1488,10738,844,46367,0.9614996976416045
2018-12-16,813,6315,3268,1435,3522,7007,0.6599731663685152
2018-12-17,2637,44700,14841,6835,16187,17714,0.6728822123326272
2018-12-18,5120,8499,7977,578,30727,8267,0.283546952654983
2018-12-19,1910,970,1725,2696,4792,4574,0.494390112197756
2018-12-20,221,5169,1194,3563,1151,13930,0.8982876169335658
2018-12-21,31,1241,48,3902,77,6743,0.987045341305431
2018-12-22,46,12,43,54,272,234,0.45385779122541603
2018-12-23,677,41,1493,107,1771,214,0.08412735300952824
2018-12-24,5776,557,27239,416,25871,1806,0.045066082867104514
2018-12-25,31,27893,497,28141,352,15426,0.9878352225601327
2018-12-26,801,252,958,709,1404,1159,0.40128714745409805
2018-12-27,39,494,134,1983,230,10066,0.9688706936505485
2018-12-28,0,1164,0,1987,0,7584,1.0
2018-12-29,1130,14613,8048,7562,8697,8594,0.6325343310583011
2018-12-30,39,748,66,4077,96,2428,0.973034612288704
2018-12-31,0,50,0,220,0,122,1.0
2019-01-01,460,57,1178,212,398,491,0.2718168812589413
2019-01-02,180,857,428,2001,582,4771,0.8650640662206599
2019-01-03,545,3465,1954,4476,859,3403,0.771595701265134
2019-01-04,611,1584,3705,2066,2861,2911,0.4775804338331635
2019-01-05,227,8832,611,9678,1006,5173,0.9277627609981588
2019-01-06,11,1256,240,4041,147,3188,0.9551953168974445
2019-01-07,0,549,0,481,0,1134,1.0
2019-01-08,313,1594,2471,2267,1633,1748,0.5594454418511869
2019-01-09,1137,120,8604,464,6907,635,0.06822633906083841
2019-01-10,4280,825,8691,365,7161,1585,0.12114200899288427
2019-01-11,0,1701,0,1066,0,654,1.0
2019-01-12,0,258,0,827,0,724,1.0
2019-01-13,0,113,0,529,0,569,1.0
2019-01-14,0,57,0,288,0,418,1.0
2019-01-15,124,7,340,99,294,58,0.17787418655097614
2019-01-16,351,49,757,263,849,680,0.3363852153272296
2019-01-17,0,725,0,1184,0,6942,1.0
2019-01-18,0,0,0,0,0,0,0
2019-01-19,286,1487,376,423,164,766,0.7641347801256425
2019-01-20,24,105,192,102,549,258,0.3780487804878049
2019-01-21,0,137,0,231,0,446,1.0
2019-01-22,388,189,1372,283,1626,676,0.25319805910895454
2019-01-23,66,617,152,788,486,1681,0.8142480211081794
2019-01-24,0,2449,0,5232,0,16032,1.0
2019-01-25,155,4532,146,2922,117,2012,0.9577094293808175
2019-01-26,0,6628,0,7063,0,3673,1.0
2019-01-27,20,96,375,933,504,885,0.6804123711340206
2019-01-28,25,3050,17,1812,51,3809,0.9893884071200365
2019-01-29,0,1566,0,2381,0,4755,1.0
2019-01-30,1112,437,725,259,813,696,0.34438396833250867
2019-01-31,690,341,810,1410,777,1397,0.5802764976958525
2019-02-01,76,4265,265,4328,450,2714,0.934617292114399
2019-02-02,70,2589,125,4087,518,6118,0.9472125564522099
2019-02-03,41,100,382,309,1565,498,0.31329879101899827
2019-02-04,2431,3790,1028,4302,421,2396,0.7299554565701559
2019-02-05,0,88,0,1020,0,1641,1.0
2019-02-06,83,89,540,318,1178,787,0.3986644407345576
2019-02-07,21,145,7,208,39,335,0.9112582781456954
2019-02-08,7,753,60,2751,136,6610,0.9803237375205971
2019-02-09,0,134,0,485,0,1052,1.0
2019-02-10,22,137,405,463,173,914,0.7161778618732261
2019-02-11,39,1380,1051,165218,302,227438,0.9964797636990805
2019-02-12,721,206,815,1096,2767,894,0.33789813817510383
2019-02-13,804,26575,397,190824,365,218583,0.9964209640999387
2019-02-14,113,306,960,779,1469,4650,0.6928838951310862
2019-02-15,267,3542,503,2594,1491,4884,0.8297567954220315
2019-02-16,70,109,176,92,1983,296,0.1823184152604549
2019-02-17,62,33,129,204,42,128,0.6103678929765887
2019-02-18,22,93,47,556,62,493,0.8970934799685781
2019-02-19,0,19445,0,8371,0,8587,1.0
2019-02-20,1876,1911,6192,3490,5698,1903,0.34665401044138583
2019-02-21,19,126,54,557,53,1045,0.9320388349514563
2019-02-22,0,45,0,199,0,337,1.0
2019-02-27,472,1449,452,4735,1768,4428,0.7976548406494287
2019-02-28,1142,1127,1882,749,1021,3465,0.5690389942467505
2019-03-01,460,267,1456,229,1062,815,0.30566565633014686
2019-03-02,28,11672,121,4841,156,5146,0.9861136405026407
2019-03-03,196,19,443,230,259,234,0.3497465604634323
2019-03-04,0,500,0,793,0,2006,1.0
2019-03-05,33,273,331,594,331,3207,0.8542671419584819
2019-03-06,104,57,775,84,1612,264,0.13984806629834254
2019-03-07,0,280,0,204,0,1199,1.0
2019-03-08,325,13191,506,10440,2818,6989,0.89351892380869
2019-03-09,45,96,184,344,196,723,0.732367758186398
2019-03-10,198,144,500,138,531,180,0.2732111176818451
2019-03-11,33,3158,58,3726,240,2872,0.9671854862694558
