date,trans0,trans2,comm0,comm2,zan0,zan2,r
2018-12-01,0,146,0,205,0,523,1.0
2018-12-02,0,0,0,0,0,0,0
2018-12-03,0,117,0,145,0,303,1.0
2018-12-04,0,103,0,62,0,709,1.0
2018-12-05,17,20362,82,14730,114,5631,0.9947967559116669
2018-12-06,115599,1294,114741,1598,369548,2217,0.008444669973570117
2018-12-07,1767,1616,5563,1543,5608,6327,0.4230288976097039
2018-12-08,21862,4627,18062,8992,62304,20300,0.2491351260035109
2018-12-09,17415,3501,18920,5319,42676,10430,0.19590681959271736
2018-12-10,7958,8751,13873,12645,23064,28026,0.5239988549254111
2018-12-11,2628,4527,5453,10166,7646,28781,0.7343457036198713
2018-12-12,43041,3645,37343,4726,199237,41365,0.1510093910255437
2018-12-13,125,811,626,936,2303,6451,0.7285815854959118
2018-12-14,761,514,1573,542,5117,527,0.17522692052247066
2018-12-15,1377,1819,3458,2980,4061,36625,0.8232114467408586
2018-12-16,435,317,992,568,1066,570,0.36854103343465044
2018-12-17,0,12983,0,274,0,1616,1.0
2018-12-18,5060,184,7317,281,30463,566,0.02350071801417793
2018-12-19,96,57133,381,28328,860,160511,0.9945938077465842
2018-12-20,108,614,136,454,330,829,0.7677053824362606
2018-12-21,237,363,172,806,412,754,0.700801749271137
2018-12-22,104,0,51,0,170,0,0.0
2018-12-23,818,103,1652,73,1487,316,0.11058664868509778
2018-12-24,308,234,541,157,1401,253,0.22252937111264687
2018-12-25,142,399,101,799,193,1707,0.8695001496557917
2018-12-26,787,286,1743,498,3577,997,0.22578600405679514
2018-12-27,0,584,0,368,0,819,1.0
2018-12-28,0,2401,0,1162,0,8531,1.0
2018-12-29,55,273,4,253,161,792,0.8569570871261378
2018-12-30,47,197,79,658,277,670,0.7909751037344398
2018-12-31,381,33,129,197,261,72,0.2814538676607642
2019-01-01,13,144,47,316,204,246,0.7278350515463917
2019-01-02,914,39,1965,215,1935,227,0.09084041548630784
2019-01-03,0,81,0,195,0,331,1.0
2019-01-04,1561,585,2752,1552,4735,2364,0.33220163849730605
2019-01-05,206,78,468,50,683,135,0.16234567901234567
2019-01-06,10,234,29,577,80,733,0.9284425736620565
2019-01-07,53,8418,0,15281,45,129493,0.9993606888903386
2019-01-08,499,263,334,1140,1443,2822,0.6499000153822488
2019-01-09,77,321,124,519,207,2017,0.8750382848392037
2019-01-10,0,0,0,0,0,0,0
2019-01-11,3028,200,8424,386,6283,665,0.06589065627304329
2019-01-12,1429,47,3798,399,5348,924,0.11469233989116785
2019-01-13,2393,46,5184,7,5245,41,0.007277794982966863
2019-01-14,36,1462,23,1270,236,7797,0.9727457501847746
2019-01-15,461,2936,203,357,557,968,0.7772710689529368
2019-01-16,253,806,266,314,1504,765,0.4823439099283521
2019-01-17,985,3266,612,1161,1316,3144,0.7221480351011065
2019-01-18,232,546,543,317,962,1516,0.5779883381924198
2019-01-19,489,538,942,575,485,1026,0.5274969173859433
2019-01-20,49,40,95,42,210,189,0.4336
2019-01-21,1854,100,746,223,1851,116,0.08977505112474438
2019-01-22,3887,774,6273,2361,9999,3105,0.23637258987082843
2019-01-23,432,557,846,2050,689,1798,0.6913057124921532
2019-01-24,0,30,0,6,0,96,1.0
2019-01-25,1685,188,1752,230,3011,170,0.08357021034678795
2019-01-26,934,321,1499,104,2156,534,0.17285508291276136
2019-01-27,66,878,170,673,249,1977,0.8791427859456765
2019-01-28,598,1275,773,815,497,5249,0.7971108938850874
2019-01-29,2786,1480,6934,2436,8927,2507,0.2562026326286398
2019-01-30,130,277,160,436,426,1107,0.7176656151419558
2019-01-31,358,684,348,456,409,873,0.643542199488491
2019-02-01,34,215,137,135,524,718,0.6057855927396484
2019-02-02,0,4384,0,4042,0,14600,1.0
2019-02-03,2165,220,153,198,1304,575,0.2151679306608884
2019-02-04,0,543,0,442,0,425,1.0
2019-02-05,33,315,13,376,55,245,0.9026036644165863
2019-02-06,178,1172,212,1006,269,908,0.8240320427236315
2019-02-07,151,194,155,242,373,701,0.626101321585903
2019-02-08,1145,134,336,59,666,309,0.1895054737636844
2019-02-09,0,356,0,322,0,887,1.0
2019-02-10,28,30,255,20,173,102,0.25
2019-02-11,11,330,17,430,83,501,0.9190962099125365
2019-02-12,1959,649,1899,986,8300,1292,0.19403380841895923
2019-02-13,27,0,107,0,197,0,0.0
2019-02-14,378,312,890,236,2539,851,0.26872839031886286
2019-02-15,507,348,712,325,1772,1307,0.3983101991550996
2019-02-16,182,410,113,300,240,577,0.7063666300768386
2019-02-17,11,731,22,423,57,794,0.9558390578999019
2019-02-18,179,171,213,164,348,915,0.628140703517588
2019-02-19,96,0,83,0,158,0,0.0
2019-02-20,1146,91,1019,145,1550,689,0.19935344827586207
2019-02-21,19,368,54,195,53,620,0.9037433155080213
2019-02-22,365,0,155,0,314,0,0.0
2019-02-27,0,153,0,52,0,281,1.0
2019-02-28,0,1790,0,789,0,2306,1.0
2019-03-01,0,414,0,353,0,1223,1.0
2019-03-02,447,922,772,1758,885,1548,0.6677195198989261
2019-03-03,21,138,15,112,73,328,0.8413391557496361
2019-03-04,2017,44,4933,34,6820,288,0.025891341256366725
2019-03-05,18,163,49,306,114,401,0.8277830637488106
2019-03-06,402,37,432,80,2963,324,0.10405851816894762
2019-03-07,8961,27829,8590,22971,38432,140706,0.7737960070952649
2019-03-08,1531,764,876,587,1939,3757,0.5403004019462662
2019-03-09,1031,407,1408,678,4353,2366,0.33691301376549837
2019-03-10,0,13,0,120,0,97,1.0
2019-03-11,80,53,44,38,80,194,0.5828220858895705
2019-03-12,1854,300,3720,628,6726,2328,0.20930830547698637
2019-03-13,0,328,0,640,0,1477,1.0
2019-03-14,182,101,1038,42,696,133,0.1259124087591241
2019-03-15,0,0,0,0,0,0,0
2019-03-16,6779,1617,1077,1505,31812,6423,0.19395281734501046
2019-03-17,0,612,0,147,0,813,1.0
2019-03-18,11146,300,3285,368,2348,1107,0.09566670259782258
2019-03-19,6600,9042,4630,10162,1666,7497,0.6743187615223375
