date,res0,res1,res2,r
2018-12-01,0,0,34,1.0
2018-12-02,13,0,0,0.0
2018-12-03,0,0,0,0
2018-12-04,0,0,3,1.0
2018-12-05,0,0,7,1.0
2018-12-06,17,0,12,0.41379310344827586
2018-12-07,12,0,32,0.7272727272727273
2018-12-08,9,0,4,0.3076923076923077
2018-12-09,33,8,10,0.19607843137254902
2018-12-10,11,0,13,0.5416666666666666
2018-12-11,25,0,42,0.6268656716417911
2018-12-12,0,0,0,0
2018-12-13,9,0,48,0.8421052631578947
2018-12-14,20,1,10,0.3225806451612903
2018-12-15,14,0,25,0.6410256410256411
2018-12-16,54,0,19,0.2602739726027397
2018-12-17,12,0,12,0.5
2018-12-18,12,0,14,0.5384615384615384
2018-12-19,55,0,54,0.4954128440366973
2018-12-20,32,0,31,0.49206349206349204
2018-12-21,17,0,16,0.48484848484848486
2018-12-22,11,0,15,0.5769230769230769
2018-12-23,12,0,65,0.8441558441558441
2018-12-24,11,0,29,0.725
2018-12-25,4,20,32,0.5714285714285714
2018-12-26,0,0,54,1.0
2018-12-27,24,0,26,0.52
2018-12-28,0,0,40,1.0
2018-12-29,0,0,34,1.0
2018-12-30,2,6,8,0.5
2018-12-31,1,0,21,0.9545454545454546
2019-01-01,0,1,33,0.9705882352941176
2019-01-02,2,0,17,0.8947368421052632
2019-01-03,29,0,19,0.3958333333333333
2019-01-04,2,0,0,0.0
2019-01-05,0,0,1,1.0
2019-01-06,6,0,0,0.0
2019-01-07,4,0,0,0.0
2019-01-08,0,0,0,0
2019-01-09,0,0,1,1.0
2019-01-10,0,0,15,1.0
2019-01-11,1,0,1,0.5
2019-01-12,3,0,7,0.7
2019-01-13,2,0,0,0.0
2019-01-14,6,0,0,0.0
2019-01-15,0,0,24,1.0
2019-01-16,5,0,95,0.95
2019-01-17,7,0,14,0.6666666666666666
2019-01-18,3,0,41,0.9318181818181818
2019-01-19,7,0,2,0.2222222222222222
2019-01-20,0,0,6,1.0
2019-01-21,1,0,11,0.9166666666666666
2019-01-22,4,0,28,0.875
2019-01-23,21,0,17,0.4473684210526316
2019-01-24,4,37,162,0.7980295566502463
2019-01-25,5,0,78,0.9397590361445783
2019-01-26,8,0,0,0.0
2019-01-27,1,0,1,0.5
2019-01-28,0,0,0,0
2019-01-29,2,0,5,0.7142857142857143
2019-01-30,0,0,33,1.0
2019-01-31,8,0,16,0.6666666666666666
2019-02-01,14,0,49,0.7777777777777778
2019-02-02,0,0,24,1.0
2019-02-03,6,0,0,0.0
2019-02-04,0,0,0,0
2019-02-05,0,0,0,0
2019-02-06,0,0,0,0
2019-02-07,5,0,0,0.0
2019-02-08,1,0,7,0.875
