用户ID,微博数,转发数,评论数,点赞数,积极数,消极数,平均转发,平均评论,平均点赞,积极转发数,积极评论数,积极点赞数,消极转发数,消极评论数,消极点赞数
新浪财经,482,144348,192899,1720959,307,175,299,400,3570,93420,105274,1033446,50928,87625,687513
新浪科技,471,138442,137249,2224893,317,154,294,291,4724,101533,88024,1374541,36909,49225,850352
华为终端官方微博,394,1132101,384726,1773852,350,44,2873,976,4502,1117161,367442,1638329,14940,17284,135523
每日经济新闻,265,59818,60506,1111903,198,67,226,228,4196,48930,42041,866696,10888,18465,245207
环球时报,230,277727,205943,1101016,117,113,1208,895,4787,132118,75564,547846,145609,130379,553170
环球网,210,308122,213786,1557411,120,90,1467,1018,7416,267674,177011,1341721,40448,36775,215690
华为中国,194,143328,121871,747780,183,11,739,628,3855,123426,115064,706324,19902,6807,41456
观察者网,163,59453,53656,443273,98,65,365,329,2719,36685,29381,236144,22768,24275,207129
C科技,155,7713,54498,237727,80,75,50,352,1534,3500,23710,102466,4213,30788,135261
梨视频,149,25681,48861,206469,105,44,172,328,1386,20453,29263,129709,5228,19598,76760
余承东,141,181256,159231,460275,134,7,1286,1129,3264,177497,153329,437433,3759,5902,22842
头条新闻,127,159632,214054,1585955,72,55,1257,1685,12488,103285,118886,1352189,56347,95168,233766
华为终端云服务,126,179923,72140,64849,115,11,1428,573,515,171173,67607,62179,8750,4533,2670
中国日报,117,23939,29320,306642,83,34,205,251,2621,21007,25354,283717,2932,3966,22925
华为手机,116,352151,77970,175116,111,5,3036,672,1510,341073,76641,169729,11078,1329,5387
央视新闻,112,356667,263411,3706939,67,45,3185,2352,33098,233564,145982,2905680,123103,117429,801259
凤凰网财经,107,18014,47025,182785,61,46,168,439,1708,11950,26505,122138,6064,20520,60647
财经网,101,15791,53402,1681629,80,21,156,529,16650,14192,47767,1502817,1599,5635,178812
HW前HR,96,22936,16445,80389,64,32,239,171,837,16229,9467,45175,6707,6978,35214
华为何刚,96,126807,27889,136985,93,3,1321,291,1427,126738,27595,136055,69,294,930
华为终端公司,95,206746,35327,81055,94,1,2176,372,853,206056,34517,80278,690,810,777
建华Wei业,92,10902,21329,94517,63,29,119,232,1027,8514,12805,69173,2388,8524,25344
Vista看天下,88,17660,41974,134870,60,28,201,477,1533,12487,17234,98894,5173,24740,35976
钟文泽,86,36787,35553,103069,58,28,428,413,1198,33414,24437,79467,3373,11116,23602
参考消息,82,17054,3299,14371,61,21,208,40,175,16154,2456,11326,900,843,3045
老板联播,67,13804,37497,903384,48,19,206,560,13483,10291,27746,770026,3513,9751,133358
人才76116,66,10197,19173,85417,48,18,155,291,1294,4513,9847,43395,5684,9326,42022
小白测评,65,3675,26445,127770,48,17,57,407,1966,3336,19009,101486,339,7436,26284
中国新闻网,63,15705,36772,251494,36,27,249,584,3992,12665,27082,127600,3040,9690,123894
科技新一,61,5325,33182,360539,23,38,87,544,5910,2678,11963,92343,2647,21219,268196
飞象网项立刚,60,8716,10276,45687,37,23,145,171,761,4395,5587,23859,4321,4689,21828
lesliesay,57,20702,9014,29241,53,4,363,158,513,18976,8267,26709,1726,747,2532
凤凰网科技,56,26049,83573,1071358,40,16,465,1492,19131,23845,79752,1045396,2204,3821,25962
长安数码君,52,2667,13775,80044,30,22,51,265,1539,928,5732,27679,1739,8043,52365
价值投资日志,51,7251,19299,91301,33,18,142,378,1790,4673,11337,48856,2578,7962,42445
wu2198,50,1595,13428,253273,30,20,32,269,5065,924,6107,146725,671,7321,106548
澎湃新闻,48,30901,69603,748719,31,17,644,1450,15598,15410,28854,393674,15491,40749,355045
央视财经,45,4257,3370,102132,38,7,95,75,2270,3705,2677,36768,552,693,65364
胡锡进,44,48101,131523,595554,23,21,1093,2989,13535,18700,47107,123522,29401,84416,472032
新财富杂志,43,4409,4786,18566,26,17,103,111,432,2805,2042,10072,1604,2744,8494
宋敬亭,43,3499,17619,80908,29,14,81,410,1882,2032,10529,41962,1467,7090,38946
信通小熊猫,43,6929,12953,58827,30,13,161,301,1368,3393,7306,41181,3536,5647,17646
唐史主任司马迁,43,7314,5638,57897,19,24,170,131,1346,2227,1771,22552,5087,3867,35345
新浪手机,42,43327,107384,1249192,38,4,1032,2557,29743,36346,105354,1053679,6981,2030,195513
第一财经日报,42,3490,6466,326596,27,15,83,154,7776,1755,3118,13401,1735,3348,313195
IT科技侠,40,9748,49692,114221,20,20,244,1242,2856,8220,28573,63292,1528,21119,50929
人民日报,38,111046,92989,936900,23,15,2922,2447,24655,59586,49851,584581,51460,43138,352319
ZEALER中国,37,8476,14972,30669,24,13,229,405,829,6942,11268,14360,1534,3704,16309
新京报,37,6080,33850,220773,18,19,164,915,5967,1970,5245,8828,4110,28605,211945
新浪视频,37,14274,7819,85579,26,11,386,211,2313,10562,4036,70617,3712,3783,14962
天津股侠,36,2155,6343,82668,16,20,60,176,2296,1324,3581,36342,831,2762,46326
华为商城,35,160080,33978,78052,33,2,4574,971,2230,156162,22858,70011,3918,11120,8041
新华视点,35,9118,9315,48065,22,13,261,266,1373,4300,2717,40553,4818,6598,7512
21世纪经济报道,35,6885,947,43307,21,14,197,27,1237,3591,811,21635,3294,136,21672
人民网,34,9547,13019,80438,14,20,281,383,2366,3323,2637,13895,6224,10382,66543
电商报,33,7030,9105,31790,19,14,213,276,963,3563,6124,21865,3467,2981,9925
中国IT杂谈,32,3197,11711,40350,16,16,100,366,1261,1685,2525,7148,1512,9186,33202
华为EMUI,32,32932,19284,14866,32,0,1029,603,465,32932,19284,14866,0,0,0
中国新闻周刊,32,14765,6384,43598,26,6,461,200,1362,14363,5400,42012,402,984,1586
新浪新闻客户端,29,2276,6341,14139,17,12,78,219,488,1638,3504,10102,638,2837,4037
凤凰网,29,4615,16582,159341,16,13,159,572,5495,1545,3445,8514,3070,13137,150827
新浪新闻,29,7199,24522,182708,15,14,248,846,6300,3920,13604,168310,3279,10918,14398
早报网,28,2354,4917,6832,15,13,84,176,244,1191,1821,2753,1163,3096,4079
数码研究所,27,587,3528,10059,17,10,22,131,373,385,2031,6502,202,1497,3557
中国联通,25,42883,24017,16487,24,1,1715,961,659,36283,19387,14821,6600,4630,1666
紫光阁,25,9987,7575,58159,15,10,399,303,2326,6335,4477,36371,3652,3098,21788
奥卡姆剃刀,24,14303,8445,46583,10,14,596,352,1941,1120,1189,3067,13183,7256,43516
程序员新视界,24,3849,11971,105799,7,17,160,499,4408,1014,2378,56337,2835,9593,49462
共青团中央,23,20970,16988,137744,10,13,912,739,5989,12713,8576,90919,8257,8412,46825
欧阳秋叶,23,778,8132,16995,9,14,34,354,739,186,1801,1627,592,6331,15368
中国长安网,23,2032,1417,21566,18,5,88,62,938,1619,1261,20993,413,156,573
人力资源研究,23,4140,6087,32298,5,18,180,265,1404,381,90,709,3759,5997,31589
思想聚焦,22,3132,3218,18382,19,3,142,146,836,2383,2421,15531,749,797,2851
中国青年报,22,1664,2711,10187,10,12,76,123,463,1042,1677,5767,622,1034,4420
风云学会陈经,22,6575,12052,46426,7,15,299,548,2110,2389,2535,5881,4186,9517,40545
中国企业家杂志,22,5765,3466,32768,15,7,262,158,1489,1829,2259,28054,3936,1207,4714
晴天披沥,22,1443,3387,23449,10,12,66,154,1066,678,1582,10671,765,1805,12778
陶永谊,21,3561,4897,22973,6,15,170,233,1094,684,864,3111,2877,4033,19862
Geek_Cao,21,1629,12711,54310,4,17,78,605,2586,357,3538,14398,1272,9173,39912
但斌,20,6463,3010,14185,16,4,323,151,709,2862,1887,12155,3601,1123,2030
凤凰网视频,20,3649,3044,12087,13,7,182,152,604,3052,2076,8476,597,968,3611
虎嗅APP,20,3491,16346,180641,6,14,175,817,9032,879,8892,85872,2612,7454,94769
科技Yu,20,1428,8399,42353,10,10,71,420,2118,704,4556,21820,724,3843,20533
中国之声,19,1652,911,5617,13,6,87,48,296,1477,697,3720,175,214,1897
新京报我们视频,19,2606,5447,20650,16,3,137,287,1087,2556,5288,20376,50,159,274
经济观察报,19,842,2252,8842,14,5,44,119,465,363,587,1982,479,1665,6860
路诞先生,19,1124,5583,19406,9,10,59,294,1021,618,3548,9956,506,2035,9450
寰亚SYHP,19,2853,4109,24743,11,8,150,216,1302,1801,2820,16704,1052,1289,8039
新华网,19,1666,767,7432,16,3,88,40,391,1574,692,7079,92,75,353
科技圣斗士,18,565,4412,24846,11,7,31,245,1380,325,3246,16385,240,1166,8461
李杰灵,18,9987,7453,26112,15,3,555,414,1451,8234,5871,20859,1753,1582,5253
科工力量,18,3047,2180,7580,10,8,169,121,421,1124,692,1865,1923,1488,5715
科技美学,18,1286,8360,74980,14,4,71,464,4166,1197,6801,69813,89,1559,5167
搞机王腾霄,18,1588,11740,31810,7,11,88,652,1767,379,2495,4754,1209,9245,27056
搞机圈的那些事,17,568,2785,55144,7,10,33,164,3244,190,908,7136,378,1877,48008
投资舆情,17,4280,4113,9446,11,6,252,242,556,2523,2843,5334,1757,1270,4112
陈震同学,17,1044,9347,19397,15,2,61,550,1141,1002,8584,17203,42,763,2194
小表哥PRO,17,1420,15419,19755,1,16,84,907,1162,12,560,418,1408,14859,19337
那岩,17,421,6063,30879,10,7,25,357,1816,200,3266,16699,221,2797,14180
新闻晨报,16,1316,1470,4368,13,3,82,92,273,1219,1148,3980,97,322,388
界面新闻,16,3844,10415,71028,4,12,240,651,4439,145,392,4941,3699,10023,66087
极客村长,16,819,4369,23038,10,6,51,273,1440,464,2524,12062,355,1845,10976
华尔街见闻APP,16,1516,4134,5670,11,5,95,258,354,1211,3864,5293,305,270,377
台湾傻事,16,1334,3160,20055,13,3,83,198,1253,1065,2595,17201,269,565,2854
王员外,16,3536,8690,38545,3,13,221,543,2409,521,1638,6681,3015,7052,31864
工业科技迷,15,1799,7314,351039,9,6,120,488,23403,1064,2328,195597,735,4986,155442
Kevin在纽约,15,7433,9101,21750,8,7,496,607,1450,2010,3695,11505,5423,5406,10245
短的发布会,15,724,3761,24765,9,6,48,251,1651,323,1865,17534,401,1896,7231
手机摄影,15,158,208,1414,15,0,11,14,94,158,208,1414,0,0,0
戴旭,15,2523,206,8863,8,7,168,14,591,999,89,4313,1524,117,4550
数码闲聊站,15,310,4623,27126,8,7,21,308,1808,166,2750,13787,144,1873,13339
锋潮科技,14,6259,6493,15750,8,6,447,464,1125,6100,6041,10929,159,452,4821
新浪军事,14,2044,5739,8341,7,7,146,410,596,496,979,2212,1548,4760,6129
香港商報網,14,1274,1299,6292,9,5,91,93,449,895,922,4079,379,377,2213
全景网,14,2201,2704,18465,10,4,157,193,1319,1160,2191,16286,1041,513,2179
华为开发者联盟,14,21818,5557,4771,14,0,1558,397,341,21818,5557,4771,0,0,0
测评君,14,726,1987,19027,11,3,52,142,1359,542,1424,12162,184,563,6865
财新网,13,13708,6475,33545,8,5,1054,498,2580,584,906,1436,13124,5569,32109
IT之家,13,519,3390,3215,9,4,40,261,247,358,1927,2389,161,1463,826
科技小公举,13,994,3348,28692,4,9,76,258,2207,167,764,4259,827,2584,24433
huayuan画鸢,13,147,1235,1051,13,0,11,95,81,147,1235,1051,0,0,0
中国经营报,13,6458,16562,71330,8,5,497,1274,5487,3324,3888,63021,3134,12674,8309
宅数码Kael,13,1170,2037,16276,8,5,90,157,1252,422,956,8861,748,1081,7415
成都商报,12,1648,6290,130140,10,2,137,524,10845,1261,4220,129045,387,2070,1095
雪球,12,3965,4337,13988,7,5,330,361,1166,1302,852,5374,2663,3485,8614
环球市场播报,12,2872,3025,7937,8,4,239,252,661,1036,1206,6338,1836,1819,1599
军武季,12,8103,3920,50001,10,2,675,327,4167,7226,2189,41989,877,1731,8012
科技星辰君,12,651,7118,31339,2,10,54,593,2612,23,509,2032,628,6609,29307
草原900,12,1780,1963,7055,11,1,148,164,588,1669,1289,5360,111,674,1695
股市女人,12,3362,17029,59385,5,7,280,1419,4949,2489,7981,36980,873,9048,22405
张雪峰老师,11,892,3765,32501,6,5,81,342,2955,378,1980,15139,514,1785,17362
少年不打太极,11,2098,24930,33966,7,4,191,2266,3088,1803,23134,28989,295,1796,4977
爱范儿,11,27202,13796,35211,11,0,2473,1254,3201,27202,13796,35211,0,0,0
搞机少女,11,1049,3563,26725,6,5,95,324,2430,776,1731,12978,273,1832,13747
维稳先锋卡菊轮,11,1875,706,9089,5,6,170,64,826,797,238,3278,1078,468,5811
电脑报,11,1603,6307,63721,5,6,146,573,5793,676,3932,54322,927,2375,9399
华为终端客服,11,37414,10578,17239,11,0,3401,962,1567,37414,10578,17239,0,0,0
财联社APP,11,1830,974,5119,7,4,166,89,465,940,629,4194,890,345,925
午后狂睡,11,3144,2454,20459,9,2,286,223,1860,578,1252,7620,2566,1202,12839
请不要叫我测评君,10,2656,1600,2520,3,7,266,160,252,44,352,784,2612,1248,1736
微天下,10,2448,2889,5433,4,6,245,289,543,312,277,842,2136,2612,4591
蓝鲸财经记者工作平台,10,3150,3885,8010,3,7,315,389,801,282,197,314,2868,3688,7696
电商行业,10,4556,5124,32605,5,5,456,512,3261,3438,3724,24490,1118,1400,8115
徐钦松Jim,10,798,1044,3601,10,0,80,104,360,798,1044,3601,0,0,0
数字尾巴,10,4532,1835,3757,7,3,453,184,376,4478,1521,3461,54,314,296
司马南,10,439,709,1609,7,3,44,71,161,105,410,968,334,299,641
福布斯中文网,10,771,1299,4733,7,3,77,130,473,580,757,3506,191,542,1227
习五一,10,1790,1974,9356,7,3,179,197,936,1335,1051,5465,455,923,3891
占豪,10,1118,1011,10377,7,3,112,101,1038,793,679,8181,325,332,2196
搞机Time,10,1030,3305,29718,2,8,103,331,2972,94,710,5388,936,2595,24330
IT观察猿,10,1972,3809,118647,6,4,197,381,11865,1180,2317,76857,792,1492,41790
地瓜熊老六,10,1600,2600,21093,5,5,160,260,2109,271,742,7124,1329,1858,13969
大公報-大公網,9,3196,3954,17396,6,3,355,439,1933,3101,3819,16946,95,135,450
虎扑的步行街,9,892,2891,45891,4,5,99,321,5099,245,1089,25597,647,1802,20294
中科大胡不归,9,1264,804,3776,4,5,140,89,420,428,289,1197,836,515,2579
浙商卢献星,9,658,906,10035,5,4,73,101,1115,509,640,6065,149,266,3970
华为云,9,4811,5363,3332,9,0,535,596,370,4811,5363,3332,0,0,0
时尚芭莎,9,15697,6678,20838,9,0,1744,742,2315,15697,6678,20838,0,0,0
CGTN,9,390,508,5043,4,5,43,56,560,211,369,3846,179,139,1197
嘉人,9,114058,14699,59651,9,0,12673,1633,6628,114058,14699,59651,0,0,0
Reviewer_小康,9,399,2552,12000,5,4,44,284,1333,235,1220,10723,164,1332,1277
硬件学堂,9,884,1129,8849,5,4,98,125,983,794,915,4050,90,214,4799
科技Milk,9,399,1485,13755,4,5,44,165,1528,279,864,4001,120,621,9754
IT互联网资讯,9,7133,7691,18217,8,1,793,855,2024,6989,7092,15094,144,599,3123
侠客岛,9,2216,3602,10654,7,2,246,400,1184,2091,3368,9468,125,234,1186
MebiuW,9,720,2639,18392,4,5,80,293,2044,401,1716,9367,319,923,9025
科技涅槃说,9,442,1196,12338,1,8,49,133,1371,10,121,257,432,1075,12081
大米评测,9,2886,3837,19482,5,4,321,426,2165,2734,2269,11144,152,1568,8338
科技疯汇,9,588,2643,18569,3,6,65,294,2063,56,347,6456,532,2296,12113
作家李召军,9,8634,5102,27790,3,6,959,567,3088,5729,3182,17324,2905,1920,10466
中国经济网,8,2750,4621,19679,5,3,344,578,2460,296,506,10411,2454,4115,9268
创业家传媒,8,932,892,1134,6,2,117,112,142,605,688,511,327,204,623
杜文龙,8,563,1125,2768,5,3,70,141,346,356,842,1587,207,283,1181
郎咸平,8,7358,0,56404,2,6,920,0,7051,980,0,4515,6378,0,51889
彩云香江,8,1769,2554,21289,7,1,221,319,2661,1724,2327,20791,45,227,498
韩东言,8,5835,11207,58467,4,4,729,1401,7308,3161,4070,35327,2674,7137,23140
平民王小石,8,4269,1133,6747,6,2,534,142,843,2868,746,5965,1401,387,782
凤凰卫视,8,395,1043,743,6,2,49,130,93,188,232,503,207,811,240
樊建川,8,415,1209,5045,4,4,52,151,631,274,637,3546,141,572,1499
楼斌XYZONE,8,588,3777,12726,2,6,74,472,1591,94,1018,2775,494,2759,9951
苏宁易购,8,10445,7285,197898,8,0,1306,911,24737,10445,7285,197898,0,0,0
科技小布,8,160,2584,2512,6,2,20,323,314,95,1868,1390,65,716,1122
全球时尚,8,33941,12867,64593,8,0,4243,1608,8074,33941,12867,64593,0,0,0
中国移动,8,13009,16676,6562,8,0,1626,2085,820,13009,16676,6562,0,0,0
新潮电子徐林,8,1180,1023,2371,6,2,148,128,296,524,708,1937,656,315,434
义勇军--鬼谷子,8,978,1577,16480,6,2,122,197,2060,818,989,10882,160,588,5598
上帝之鹰_5zn,8,4162,9650,57668,1,7,520,1206,7209,14,67,1182,4148,9583,56486
洛杉矶房东,8,5065,2858,26767,4,4,633,357,3346,1733,864,11247,3332,1994,15520
吐槽科技君,8,413,5191,62541,3,5,52,649,7818,140,858,7461,273,4333,55080
万能的大熊,8,1283,5179,20209,5,3,160,647,2526,850,1851,7796,433,3328,12413
赵明-George,8,1104,2794,41514,8,0,138,349,5189,1104,2794,41514,0,0,0
吴小杰WJie,7,286,1870,2221,4,3,41,267,317,209,1060,1134,77,810,1087
新浪证券,7,43244,35315,95273,3,4,6178,5045,13610,596,468,3112,42648,34847,92161
机工战略,7,833,537,1006,6,1,119,77,144,651,402,843,182,135,163
影视生,7,1919,480,11978,4,3,274,69,1711,1650,217,7477,269,263,4501
媒体人张晓磊,7,2095,2708,34688,6,1,299,387,4955,1954,2677,34494,141,31,194
机智的何先生,7,40499,55338,111430,6,1,5786,7905,15919,37205,50901,100099,3294,4437,11331
热门搞笑排行榜,7,3280,2148,5571,6,1,469,307,796,2756,1933,4631,524,215,940
台湾那点事儿,7,385,1568,23637,6,1,55,224,3377,369,1456,23508,16,112,129
中国商界网,7,1400,2381,24035,6,1,200,340,3434,1180,1771,4278,220,610,19757
莲石路车神,7,105,663,1779,4,3,15,95,254,74,353,1064,31,310,715
RunForYou易烊千玺动图库,7,6908,1238,18154,7,0,987,177,2593,6908,1238,18154,0,0,0
央视网,7,609,1025,3101,5,2,87,146,443,567,843,2961,42,182,140
芒果TV,7,16080,9657,165431,7,0,2297,1380,23633,16080,9657,165431,0,0,0
微博数码,7,435,1233,2664,5,2,62,176,381,230,774,1733,205,459,931
啵唧一口甜丞,7,474,5068,1360,2,5,68,724,194,154,1424,393,320,3644,967
钢的王十二,7,154,889,4680,7,0,22,127,669,154,889,4680,0,0,0
后沙月光本尊,7,480,592,4299,2,5,69,85,614,192,214,839,288,378,3460
思多金,7,2781,569,4361,6,1,397,81,623,2532,240,2390,249,329,1971
